a|a||||||
adés|adés||||||
amender|amender||||||
amor|amor||||||
amors|amors||||||
anciens|anciens||||||
assez|assez||||||
avarice|avarice||||||
avars|avars||||||
avere|avere||||||
avoir|avoir||||||
avoirs|avoirs||||||
avoit|avoit||||||
ay|ay||||||
ayent|ayent||||||
biauz|biauz||||||
bien|bien||||||
car|car||||||
ce|ce||||||
cel|cel||||||
celui|celui||||||
certaine|certaine||||||
ceuz|ceuz||||||
chative|chative||||||
cil|cil||||||
coment|coment||||||
conquiert|conquiert||||||
contes|contes||||||
coronee|coronee||||||
covoitise|covoitise||||||
cuvers|cuvers||||||
dame|dame||||||
de|de||||||
deceüs|deceüs||||||
decoit|decoit||||||
deniers|deniers||||||
des|des||||||
despant|despant||||||
devonsmes|devonsmes||||||
dire|dire||||||
dolor|dolor||||||
d’|d’||||||
en|en||||||
enbler|enbler||||||
enjant|enjant||||||
enprandre|enprandre||||||
ensi_com|ensi_com||||||
entandre|entandre||||||
envie|envie||||||
ert|ert||||||
escrit|escrit||||||
est|est||||||
estoit|estoit||||||
estoyre|estoyre||||||
et|et||||||
faiz|faiz||||||
fausse|fausse||||||
firent|firent||||||
foy|foy||||||
frarine|frarine||||||
fu|fu||||||
garder|garder||||||
gentis|gentis||||||
guerre|guerre||||||
hom|hom||||||
iert|iert||||||
il|il||||||
ja|ja||||||
joie|joie||||||
la|la||||||
le|le||||||
les|les||||||
li|li||||||
longemant|longemant||||||
lor|lor||||||
lors|lors||||||
l’|l’||||||
mains|mains||||||
mal|mal||||||
mante|mante||||||
mantenoient|mantenoient||||||
mer|mer||||||
mes|mes||||||
mlt|mlt||||||
morte|morte||||||
muert|muert||||||
ne|ne||||||
no|no||||||
noblece|noblece||||||
non|non||||||
nos|nos||||||
n’|n’||||||
o|o||||||
om|om||||||
on|on||||||
onor|onor||||||
or|or||||||
ou|ou||||||
p|p||||||
par_trestot|par_trestot||||||
part|part||||||
pas|pas||||||
perde|perde||||||
perdus|perdus||||||
pert|pert||||||
por|por||||||
provez|provez||||||
proëce|proëce||||||
proïce|proïce||||||
puet|puet||||||
quant|quant||||||
que|que||||||
qui|qui||||||
quiert|quiert||||||
quoi|quoi||||||
raconter|raconter||||||
receüs|receüs||||||
remanbrer|remanbrer||||||
retraiz|retraiz||||||
richece|richece||||||
robeörs|robeörs||||||
roïne|roïne||||||
se|se||||||
seignor|seignor||||||
sengart|sengart||||||
servis|servis||||||
set|set||||||
soit|soit||||||
sol_que|sol_que||||||
tenps|tenps||||||
tent|tent||||||
terre|terre||||||
tost|tost||||||
toz_jorz|toz_jorz||||||
trové|trové||||||
tuee|tuee||||||
vaine|vaine||||||
valains|valains||||||
verité|verité||||||
vice|vice||||||
vie|vie||||||
vilain|vilain||||||
vive|vive||||||
voill|voill||||||
voit|voit||||||
vos|vos||||||
vuel|vuel||||||
y|y||||||
·l|·l||||||
à|à||||||
