3rc|3rc
##|##
lors|lors
le|le
lait|lait
il|il
tout|tout
et|et
guerpist|guerpist
##|##
teiz|teiz
le|le
despent|despent
qui|qui
ne|ne
·l|·l
conquist|conquist
##|##
ne|ne
·l|·l
di|di
pas|pas
porce_que|porce_que
dener|dener
##|##
ne|ne
puet|puet
on|on
pas|pas
sans|sans
conquester|conquester
##|##
qui|qui
*|*
mlt|mlt
despent|despent
et|et
peu|peu
amasse|amasse
##|##
tost|tost
pert|pert
son|son
pris|pris
là_où|là_où
il|il
lasse|lasse
##|##
et|et
qui|qui
conquiert|conquiert
et|et
ne|ne
despent|despent
##|##
il|il
est|est
haïs|haïs
de|de
mainte|mainte
gent|gent
##|##
li|li
uns|uns
sans|sans
l’|l’
autre|autre
n’|n’
a|a
mestier|mestier
##|##
mais|mais
li|li
uns|uns
doit|doit
àl’|àl’
autre|autre
aidier|aidier
##|##
pau|pau
vaut|vaut
despendre|despendre
sans|sans
dener|dener
##|##
et|et
qui|qui
despent|despent
sans|sans
conquester|conquester
##|##
on|on
l’|l’
a|a
veüt|veüt
de|de
mainte|mainte
gent|gent
##|##
que|que
d’|d’
auqués|auqués
viennent|viennent
à|à
neent|neent
##|##
bons|bons
princes|princes
doit|doit
assez|assez
despendre|despendre
##|##
et|et
conquester|conquester
dener|dener
et|et
prendre|prendre
##|##
quar|quar
largece|largece
est|est
dame|dame
d’|d’
ounour|ounour
##|##
et|et
de|de
prouesce|prouesce
et|et
de|de
valour|valour
##|##
ensis|ensis
puet|puet
dou|dou
siecle|siecle
joïr|joïr
##|##
amours|amours
et|et
hounors|hounors
maintenir|maintenir
##|##
dont|dont
il|il
iert|iert
dou|dou
siecle|siecle
loëz|loëz
##|##
et|et
aprés|aprés
sa|sa
mort|mort
ramembrez|ramembrez
##|##
de|de
ce|ce
me|me
wel|wel
atant|atant
laissier|laissier
##|##
et|et
à|à
mon|mon
conte|conte
repairier|repairier
##|##
signor|signor
je|je
sai|sai
assez|assez
de_fit|de_fit
##|##
que|que
d’|d’
alixandre|alixandre
avez|avez
oït|oït
##|##
mais|mais
ne|ne
savez|savez
encore|encore
pas|pas
##|##
dont|dont
fu|fu
sa|sa
mere|mere
olimpias|olimpias
##|##
dou|dou
roi|roi
phellipon|phellipon
ne|ne
savez|savez
##|##
qu’|qu’
est|est
ses|ses
peres|peres
ne|ne
dont|dont
fu|fu
nez|nez
##|##
ge|ge
·l|·l
dirai|dirai
qui|qui
l’|l’
ai|ai
en|en
mimoire|mimoire
##|##
or|or
escoutez|escoutez
*|*
mlt|mlt
riche|riche
estoire|estoire
##|##
des|des
rois|rois
des|des
princes|princes
qui|qui
il|il
sont|sont
##|##
liplus|liplus
est|est
dou|dou
roi|roi
florimont|florimont
##|##
ce|ce
dist|dist
aymes|aymes
or|or
escoutez|escoutez
##|##
vous|vous
qui|qui
les|les
bons|bons
dis|dis
entendez|entendez
##|##
quar|quar
ci|ci
porront|porront
trover|trover
la|la
flour|flour
##|##
deuz|deuz
contes|contes
li|li
bon|bon
conteour|conteour
##|##
d’|d’
amours|amours
et|et
de|de
chevallerie|chevallerie
##|##
d’|d’
aventure|aventure
et|et
de|de
courtoisie|courtoisie
##|##
et|et
de|de
largesce|largesce
et|et
d’|d’
ounour|ounour
##|##
or|or
faites|faites
pais|pais
oiés|oiés
signour|signour
