a|a||||||
adés|adés||||||
ait|ait||||||
amor|amor||||||
amour|amour||||||
apprendre|apprendre||||||
assés|assés||||||
avarice|avarice||||||
avers|avers||||||
aversse|aversse||||||
avoir|avoir||||||
avoit|avoit||||||
caitive|caitive||||||
car|car||||||
ce|ce||||||
cellui|cellui||||||
certaine|certaine||||||
cest|cest||||||
ceulx|ceulx||||||
comment|comment||||||
conquiert|conquiert||||||
contes|contes||||||
convoitise|convoitise||||||
couronnee|couronnee||||||
cuvers|cuvers||||||
c’|c’||||||
dame|dame||||||
de|de||||||
decoipt|decoipt||||||
deniers|deniers||||||
despend|despend||||||
devons|devons||||||
doulour|doulour||||||
d’|d’||||||
en|en||||||
enging|enging||||||
entendre|entendre||||||
ert|ert||||||
est|est||||||
estoit|estoit||||||
et|et||||||
finee|finee||||||
foy|foy||||||
frarine|frarine||||||
garder|garder||||||
gentilz|gentilz||||||
homs|homs||||||
honnour|honnour||||||
il|il||||||
ilz|ilz||||||
ja|ja||||||
joye|joye||||||
le|le||||||
longuement|longuement||||||
lors|lors||||||
ly|ly||||||
mains|mains||||||
mainte|mainte||||||
maintenoient|maintenoient||||||
mais|mais||||||
mais_que|mais_que||||||
mer|mer||||||
meurt|meurt||||||
morte|morte||||||
ne|ne||||||
noblesse|noblesse||||||
nos|nos||||||
n’|n’||||||
on|on||||||
onneur|onneur||||||
or|or||||||
ore|ore||||||
ou|ou||||||
par|par||||||
par_tout|par_tout||||||
part|part||||||
pas|pas||||||
perde|perde||||||
perdu|perdu||||||
pert|pert||||||
peult|peult||||||
pour|pour||||||
prouesse|prouesse||||||
prouvés|prouvés||||||
quant|quant||||||
qui|qui||||||
quiert|quiert||||||
qu’|qu’||||||
recheüs|recheüs||||||
regart|regart||||||
retrait|retrait||||||
richesse|richesse||||||
roÿne|roÿne||||||
sa|sa||||||
sans|sans||||||
scet|scet||||||
servis|servis||||||
ses|ses||||||
soit|soit||||||
sont|sont||||||
temps|temps||||||
tend|tend||||||
terre|terre||||||
tousjours|tousjours||||||
vaine|vaine||||||
veult|veult||||||
vice|vice||||||
villain|villain||||||
villains|villains||||||
vive|vive||||||
voit|voit||||||
y|y||||||
à|à||||||
