2r|2r
##|##
pour|pour
qui|qui
ly|ly
contes|contes
sont|sont
retrait|retrait
##|##
devons|devons
nos|nos
tousjours|tousjours
entendre|entendre
##|##
car|car
adés|adés
y|y
peult|peult
on|on
apprendre|apprendre
##|##
ceulx|ceulx
qui|qui
maintenoient|maintenoient
amour|amour
##|##
et|et
foy|foy
et|et
prouesse|prouesse
et|et
honnour|honnour
##|##
à|à
cest|cest
temps|temps
estoit|estoit
amour|amour
vive|vive
##|##
qui|qui
ore|ore
est|est
morte|morte
et|et
caitive|caitive
##|##
de|de
joye|joye
estoit|estoit
dame|dame
et|et
roÿne|roÿne
##|##
ore|ore
est|est
aversse|aversse
et|et
c’|c’
est|est
frarine|frarine
##|##
lors|lors
estoit|estoit
d’|d’
onneur|onneur
couronnee|couronnee
##|##
par|par
convoitise|convoitise
est|est
ore|ore
finee|finee
##|##
n’|n’
y|y
avoit|avoit
pas|pas
enging|enging
ne|ne
vice|vice
##|##
mais|mais
or|or
ce|ce
meurt|meurt
par|par
avarice|avarice
##|##
or|or
ne|ne
quiert|quiert
pas|pas
amor|amor
noblesse|noblesse
##|##
mais|mais
cellui|cellui
veult|veult
qui|qui
a|a
richesse|richesse
##|##
ou|ou
soit|soit
gentilz|gentilz
ou|ou
soit|soit
villains|villains
##|##
amour|amour
tend|tend
mais|mais
par_tout|par_tout
ses|ses
mains|mains
##|##
c’|c’
ilz|ilz
est|est
villain|villain
cuvers|cuvers
prouvés|prouvés
##|##
mais_que|mais_que
il|il
ait|ait
deniers|deniers
assés|assés
##|##
or|or
est|est
servis|servis
et|et
recheüs|recheüs
##|##
car|car
il|il
ne|ne
scet|scet
ne|ne
il|il
ne|ne
voit|voit
##|##
comment|comment
ly|ly
avoir|avoir
le|le
decoipt|decoipt
##|##
quant|quant
le|le
conquiert|conquiert
sa|sa
joye|joye
vaine|vaine
##|##
et|et
quant|quant
le|le
pert|pert
doulour|doulour
certaine|certaine
##|##
ne|ne
peult|peult
pas|pas
garder|garder
longuement|longuement
##|##
qu’|qu’
il|il
ne|ne
le|le
perde|perde
ou|ou
qui|qui
ne|ne
le|le
despend|despend
##|##
avoir|avoir
est|est
perdu|perdu
mainte|mainte
part|part
##|##
avers|avers
homs|homs
n’|n’
ert|ert
ja|ja
sans|sans
regart|regart
##|##
qui|qui
pert|pert
en|en
terre|terre
ou|ou
pert|pert
en|en
mer|mer
