a|a|a|a|fr.a.,XII,|ADJ|Adj|Masc,Sing,Nom,Pos
ainsi_con|ainsi_con||||||
al|al||||||
amer|amer|aimer|aimer|it.,X,|NOUN|Noun|Fem,Plur,Acc
amor|amor||||||
ancieins|ancieins||||||
aporta|aporta||||||
aprandre|aprandre||||||
aselgue|aselgue||||||
asez|asez||||||
avoit|avoit||||||
aymes|aymes||||||
babiloine|babiloine||||||
bien|bien||||||
bon|bon||||||
ce|ce||||||
cel|cel||||||
chastellon|chastellon||||||
conquist|conquist||||||
corage|corage||||||
cuer|cuer||||||
de|de||||||
de_l’|de_l’||||||
del|del||||||
des|des||||||
deuz|deuz||||||
di|di||||||
dirai|dirai||||||
dist|dist||||||
diz|diz||||||
doit|doit||||||
duc|duc||||||
duraz|duraz||||||
eleneos|eleneos||||||
en|en||||||
enprise|enprise||||||
entandre|entandre||||||
entencïon|entencïon||||||
entent|entent||||||
escouter|escouter||||||
escriz|escriz||||||
escutez|escutez||||||
estoire|estoire||||||
estoit|estoit||||||
et|et||||||
fait|fait||||||
faiz|faiz||||||
felipon|felipon||||||
felipople|felipople||||||
fil|fil||||||
fin|fin||||||
fit|fit||||||
florimont|florimont||||||
france|france||||||
francois|francois||||||
fu|fu||||||
greze|greze||||||
grezeois|grezeois||||||
hoiez|hoiez||||||
hoïr|hoïr||||||
i|i||||||
iert|iert||||||
il|il||||||
je|je||||||
juliaine|juliaine||||||
la|la||||||
latin|latin||||||
le|le||||||
lengue|lengue||||||
leonois|leonois||||||
li|li||||||
l’|l’||||||
m|m||||||
macedoine|macedoine||||||
mais|mais||||||
matequaz|matequaz||||||
me|me||||||
memoire|memoire||||||
mie|mie||||||
mise|mise||||||
mit|mit||||||
ne|ne||||||
no|no||||||
noriz|noriz||||||
n’|n’||||||
ont|ont||||||
or|or||||||
ora|ora||||||
ot|ot||||||
par_tot|par_tot||||||
pas|pas||||||
por|por||||||
por_quoi|por_quoi||||||
porpensa|porpensa||||||
puet|puet||||||
que|que||||||
qui|qui||||||
qu’|qu’||||||
reconter|reconter||||||
remenbrance|remenbrance||||||
retrait|retrait||||||
rois|rois||||||
romanz|romanz||||||
sa|sa||||||
sagemant|sagemant||||||
saison|saison||||||
saüe|saüe||||||
segnor|segnor||||||
si|si||||||
sire|sire||||||
soi|soi||||||
sor|sor||||||
s’|s’||||||
tant|tant||||||
teuz|teuz||||||
toz_jorz_mais|toz_jorz_mais||||||
trova|trova||||||
une|une||||||
varenes|varenes||||||
vasalage|vasalage||||||
veut|veut||||||
veüe|veüe||||||
vos|vos||||||
à|à||||||
