a|a|||||| 
amer|amer|amer|amer|pr.,X1,|PROPN|Noun|Masc,Sing
amour|amour|||||| 
aprendre|aprendre|||||| 
assez|assez|||||| 
aualis|aualis|||||| 
avoit|avoit|||||| 
aymes|aymes|||||| 
babiloine|babiloine|||||| 
bien|bien|||||| 
bon|bon|||||| 
ce|ce|||||| 
chastillon|chastillon|||||| 
cil|cil|||||| 
conquist|conquist|||||| 
corage|corage|||||| 
cuer|cuer|||||| 
de|de|||||| 
de_sor|de_sor|||||| 
del’|del’|||||| 
dirai|dirai|||||| 
dis|dis|||||| 
doit|doit|||||| 
dou|dou|||||| 
duc|duc|||||| 
duras|duras|||||| 
em|em|||||| 
en|en|||||| 
entendre|entendre|||||| 
entent|entent|||||| 
ententïon|ententïon|||||| 
escouter|escouter|||||| 
escoutez|escoutez|||||| 
estoire|estoire|||||| 
estoit|estoit|||||| 
et|et|||||| 
fais|fais|||||| 
fil|fil|||||| 
fist|fist|||||| 
florimont|florimont|||||| 
france|france|||||| 
francois|francois|||||| 
fu|fu|||||| 
ge|ge|||||| 
grece|grece|||||| 
grijois|grijois|||||| 
i|i|||||| 
iert|iert|||||| 
il|il|||||| 
la|la|||||| 
langue|langue|||||| 
le|le|||||| 
li|li|||||| 
lionnois|lionnois|||||| 
l’|l’|||||| 
macedoine|macedoine|||||| 
mais|mais|||||| 
malina|malina|||||| 
mataquas|mataquas|||||| 
mie|mie|||||| 
mimoire|mimoire|||||| 
mist|mist|||||| 
m’|m’|||||| 
ne|ne|||||| 
non|non|||||| 
norris|norris|||||| 
n’|n’|||||| 
oiés|oiés|||||| 
or|or|||||| 
orra|orra|||||| 
ot|ot|||||| 
oulineos|oulineos|||||| 
oïr|oïr|||||| 
partout|partout|||||| 
pas|pas|||||| 
phellipon|phellipon|||||| 
por|por|||||| 
por_quoi|por_quoi|||||| 
porpensa|porpensa|||||| 
pour|pour|||||| 
puet|puet|||||| 
que|que|||||| 
qui|qui|||||| 
raconter|raconter|||||| 
ramenbrance|ramenbrance|||||| 
rois|rois|||||| 
roumans|roumans|||||| 
sagement|sagement|||||| 
saine|saine|||||| 
saison|saison|||||| 
se|se|||||| 
seüe|seüe|||||| 
si|si|||||| 
signour|signour|||||| 
sires|sires|||||| 
son|son|||||| 
s’|s’|||||| 
tez|tez|||||| 
tous_jors_mais|tous_jors_mais|||||| 
une|une|||||| 
vasselage|vasselage|||||| 
velt|velt|||||| 
veüe|veüe|||||| 
vous|vous|||||| 
welt|welt|||||| 
à|à||||||
