1ra|1ra
##|##
cel|cel
qui|qui
a|a
cuer|cuer
de|de
vasalage|vasalage
##|##
et|et
veut|veut
amer|amer
de|de
fin|fin
corage|corage
##|##
si|si
doit|doit
hoïr|hoïr
et|et
escouter|escouter
##|##
ce|ce
que|que
aymes|aymes
veut|veut
reconter|reconter
##|##
asez|asez
i|i
puet|puet
de|de
bien|bien
aprandre|aprandre
##|##
si|si
de|de
bon|bon
cuer|cuer
i|i
veut|veut
entandre|entandre
##|##
segnor|segnor
or|or
hoiez|hoiez
que|que
je|je
di|di
##|##
aymes|aymes
por|por
amor|amor
que|que
ot|ot
en|en
li|li
##|##
fit|fit
le|le
romanz|romanz
tant|tant
sagemant|sagemant
##|##
que|que
teuz|teuz
l’|l’
ora|ora
qui|qui
ne|ne
l’|l’
entent|entent
##|##
por_quoi|por_quoi
il|il
fu|fu
et|et
faiz|faiz
et|et
diz|diz
##|##
por|por
juliaine|juliaine
fu|fu
escriz|escriz
##|##
toz_jorz_mais|toz_jorz_mais
en|en
iert|iert
remenbrance|remenbrance
##|##
il|il
ne|ne
fu|fu
mie|mie
faiz|faiz
en|en
france|france
##|##
mais|mais
en|en
la|la
lengue|lengue
deuz|deuz
francois|francois
##|##
le|le
fit|fit
aymes|aymes
en|en
leonois|leonois
##|##
aymes|aymes
i|i
mit|mit
s’|s’
entencïon|entencïon
##|##
le|le
romanz|romanz
fit|fit
à|à
chastellon|chastellon
##|##
de|de
felipon|felipon
de|de
macedoine|macedoine
##|##
qui|qui
fu|fu
noriz|noriz
en|en
babiloine|babiloine
##|##
et|et
del|del
fil|fil
al|al
duc|duc
matequaz|matequaz
##|##
qui|qui
estoit|estoit
sire|sire
de|de
duraz|duraz
##|##
florimont|florimont
ot|ot
no|no
*|*
m|m
en|en
francois|francois
##|##
eleneos|eleneos
dist|dist
en|en
grezeois|grezeois
##|##
rois|rois
fu|fu
et|et
si|si
conquist|conquist
asez|asez
##|##
dirai|dirai
vos|vos
en|en
si|si
me|me
escutez|escutez
##|##
sor|sor
aselgue|aselgue
à|à
chastellon|chastellon
##|##
estoit|estoit
aymes|aymes
une|une
saison|saison
##|##
et|et
porpensa|porpensa
soi|soi
de_l’|de_l’
estoire|estoire
##|##
que|que
il|il
avoit|avoit
en|en
sa|sa
memoire|memoire
##|##
il|il
l’|l’
avoit|avoit
en|en
greze|greze
veüe|veüe
##|##
mais|mais
n’|n’
estoit|estoit
pas|pas
par_tot|par_tot
saüe|saüe
##|##
à|à
felipople|felipople
la|la
trova|trova
##|##
à|à
chastellon|chastellon
l’|l’
en|en
aporta|aporta
##|##
ainsi_con|ainsi_con
il|il
l’|l’
avoit|avoit
enprise|enprise
##|##
l’|l’
a|a
de|de
latin|latin
en|en
romanz|romanz
mise|mise
##|##
aymes|aymes
de|de
varenes|varenes
retrait|retrait
##|##
des|des
ancieins|ancieins
ce|ce
qu’|qu’
il|il
ont|ont
fait|fait
