1ra|1ra
##|##
cil|cil
qui|qui
a|a
cuer|cuer
de|de
vassalage|vassalage
##|##
et|et
vuelt|vuelt
amer|amer
de|de
fin|fin
corage|corage
##|##
se|se
doit|doit
oïr|oïr
et|et
escouter|escouter
##|##
ce|ce
que|que
aymes|aymes
vuelt|vuelt
raconter|raconter
##|##
assez|assez
i|i
puet|puet
de|de
bien|bien
aprandre|aprandre
##|##
qui|qui
de|de
buen|buen
cuer|cuer
i|i
vuelt|vuelt
entandre|entandre
##|##
or|or
oëz|oëz
seignor|seignor
que|que
je|je
di|di
##|##
ayme|ayme
por|por
aliane|aliane
ici|ici
##|##
fist|fist
le|le
romanz|romanz
tant|tant
sagement|sagement
##|##
que|que
telz|telz
l’|l’
orra|orra
qui|qui
no|no
l’|l’
antent|antent
##|##
por_qoi|por_qoi
i|i
fu|fu
et|et
faiz|faiz
et|et
diz|diz
i|i
##|##
por|por
juliane|juliane
fu|fu
escriz|escriz
##|##
toz_jorz_mais|toz_jorz_mais
en|en
ert|ert
remenbrace|remenbrace
##|##
il|il
ne|ne
fu|fu
mie|mie
faiz|faiz
en|en
france|france
##|##
mes|mes
en|en
la|la
langue|langue
de|de
francois|francois
##|##
les|les
fit|fit
aymes|aymes
en|en
lyonois|lyonois
##|##
aymes|aymes
i|i
mist|mist
s’|s’
entencïon|entencïon
.|.
##|##
le|le
romanz|romanz
fist|fist
à|à
chastillon|chastillon
##|##
de|de
felipon|felipon
de|de
macedoine|macedoine
##|##
que|que
fu|fu
noriz|noriz
en|en
babiloine|babiloine
##|##
et|et
del|del
fil|fil
au|au
duc|duc
mataquaz|mataquaz
##|##
qui|qui
estoit|estoit
sire|sire
de|de
duraz|duraz
##|##
florimont|florimont
ot|ot
nom|nom
en|en
francois|francois
##|##
eleneos|eleneos
dist|dist
en|en
grezois|grezois
##|##
rois|rois
fu|fu
et|et
se|se
conquist|conquist
assez|assez
##|##
dirai|dirai
vos|vos
et|et
se|se
m’|m’
escoutez|escoutez
##|##
sor|sor
aselge|aselge
à|à
chastillon|chastillon
##|##
estoit|estoit
aymes|aymes
une|une
sayson|sayson
##|##
et|et
porpansa|porpansa
soi|soi
de_l’|de_l’
estoire|estoire
##|##
qui|qui
il|il
avoit|avoit
en|en
sa|sa
memoire|memoire
##|##
il|il
l|l
'|'
avoit|avoit
en|en
grece|grece
veüe|veüe
##|##
mais|mais
n’|n’
estoit|estoit
pas|pas
par_tot|par_tot
seüe|seüe
##|##
à|à
felipople|felipople
la|la
trova|trova
##|##
à|à
chastillon|chastillon
l’|l’
en|en
aporta|aporta
##|##
ensi_com|ensi_com
il|il
l’|l’
avoit|avoit
aprise|aprise
##|##
l’|l’
a|a
de|de
latin|latin
en|en
romanz|romanz
mise|mise
##|##
aymes|aymes
de|de
varenes|varenes
retrait|retrait
##|##
de|de
anciens|anciens
or|or
qu’|qu’
il|il
ont|ont
fait|fait
##|##
les|les
faiz|faiz
com|com
ce|ce
des|des
anciens|anciens
##|##
qui|qui
tuit|tuit
cil|cil
qui|qui
ont|ont
le|le
cuers|cuers
veins|veins
