a|a|a|a|it.,X,|NOUN|Noun|Masc,Sing,Nom
ai|ai||||||
aidier|aidier||||||
alixandre|alixandre||||||
amasse|amasse||||||
amor|amor||||||
aprés|aprés||||||
assez|assez||||||
atant|atant||||||
auqués|auqués||||||
autre|autre||||||
aventures|aventures||||||
avez|avez||||||
aymes|aymes||||||
aïz|aïz||||||
bon|bon||||||
bons|bons||||||
car|car||||||
ce|ce||||||
chevaleries|chevaleries||||||
ci|ci||||||
conquere|conquere||||||
conquester|conquester||||||
conquiert|conquiert||||||
conquist|conquist||||||
conte|conte||||||
contes|contes||||||
contez|contez||||||
conteör|conteör||||||
cortoisies|cortoisies||||||
de|de||||||
del|del||||||
des|des||||||
despandre|despandre||||||
despant|despant||||||
di|di||||||
dirai|dirai||||||
dist|dist||||||
diz|diz||||||
doit|doit||||||
don|don||||||
doner|doner||||||
dont|dont||||||
dou|dou||||||
d’|d’||||||
en|en||||||
encore|encore||||||
ensi|ensi||||||
entendez|entendez||||||
ert|ert||||||
escoutez|escoutez||||||
est|est||||||
estoire|estoire||||||
et|et||||||
felipon|felipon||||||
flor|flor||||||
flormont|flormont||||||
fu|fu||||||
gent|gent||||||
guerpist|guerpist||||||
i|i||||||
il|il||||||
jant|jant||||||
je|je||||||
joir|joir||||||
la|la||||||
laisse|laisse||||||
laissier|laissier||||||
largece|largece||||||
lasse|lasse||||||
le|le||||||
les|les||||||
li|li||||||
li_plus|li_plus||||||
lors|lors||||||
loëz|loëz||||||
là_on|là_on||||||
l’|l’||||||
mante|mante||||||
mantenir|mantenir||||||
me|me||||||
memoire|memoire||||||
menent|menent||||||
mere|mere||||||
mes|mes||||||
mestier|mestier||||||
mlt|mlt||||||
mon|mon||||||
mort|mort||||||
ne|ne||||||
neient|neient||||||
nez|nez||||||
no|no||||||
n’|n’||||||
olinpias|olinpias||||||
om|om||||||
on|on||||||
onor|onor||||||
or|or||||||
oï|oï||||||
pas|pas||||||
pere|pere||||||
pert|pert||||||
poi|poi||||||
porce_que|porce_que||||||
porront|porront||||||
pou|pou||||||
prandre|prandre||||||
princes|princes||||||
pris|pris||||||
proëce|proëce||||||
puet|puet||||||
que|que||||||
qui|qui||||||
remenbrez|remenbrez||||||
repairier|repairier||||||
riche|riche||||||
roi|roi||||||
rois|rois||||||
sa|sa||||||
sai|sai||||||
sanz|sanz||||||
savez|savez||||||
seignor|seignor||||||
senz|senz||||||
ses|ses||||||
si|si||||||
siegle|siegle||||||
son|son||||||
sont|sont||||||
telz|telz||||||
tost|tost||||||
tot|tot||||||
tote|tote||||||
toz_jorz|toz_jorz||||||
trover|trover||||||
uns|uns||||||
vaut|vaut||||||
veï|veï||||||
vos|vos||||||
vueil|vueil||||||
à|à||||||
àl’|àl’||||||
