aimes|aimes||||||
amours|amours||||||
amés|amés||||||
aventures|aventures||||||
ay|ay||||||
biaus|biaus||||||
bon|bon|bon|bon|it.,X,|PRON|Noun|Prs,2,Masc,Plur,Nom,MWEs
car|car||||||
ce|ce||||||
ces|ces||||||
chevalerie|chevalerie||||||
contes|contes||||||
courtoisies|courtoisies||||||
cy|cy||||||
de|de||||||
des|des||||||
diray|diray||||||
dist|dist||||||
dittiés|dittiés||||||
dont|dont||||||
du|du||||||
d’|d’||||||
en|en||||||
encor|encor||||||
escoutés|escoutés||||||
est|est||||||
et|et||||||
faites|faites||||||
flour|flour||||||
flourimont|flourimont||||||
fust|fust||||||
hystoire|hystoire||||||
je|je||||||
la|la||||||
largesse|largesse||||||
le|le||||||
les|les||||||
ly|ly||||||
ly_plus|ly_plus||||||
l’|l’||||||
mais|mais||||||
memoire|memoire||||||
mere|mere||||||
moult|moult||||||
ne|ne||||||
nés|nés||||||
olimpias|olimpias||||||
or|or||||||
ounour|ounour||||||
oyés|oyés||||||
paix|paix||||||
pas|pas||||||
peres|peres||||||
phillippon|phillippon||||||
porrons|porrons||||||
princes|princes||||||
qui|qui||||||
riche|riche||||||
roy|roy||||||
roys|roys||||||
sa|sa||||||
scavés|scavés||||||
seignours|seignours||||||
sont|sont||||||
treuveur|treuveur||||||
trouver|trouver||||||
vous|vous||||||
y|y||||||
