FORMA|KEY|SIGL
1ra|1ra|h
##|##|h
cil|cil|h
qui|qui|h
a|a|h
cuer|cuer|h
de|de|h
vassalage|vassalage|h
##|##|h
et|et|h
vuelt|vuelt|h
amer|amer|h
de|de|h
fin|fin|h
corage|corage|h
##|##|h
se|se|h
doit|doit|h
oïr|oïr|h
et|et|h
escouter|escouter|h
##|##|h
ce|ce|h
que|que|h
aymes|aymes|h
vuelt|vuelt|h
raconter|raconter|h
##|##|h
assez|assez|h
i|i|h
puet|puet|h
de|de|h
bien|bien|h
aprandre|aprandre|h
##|##|h
qui|qui|h
de|de|h
buen|buen|h
cuer|cuer|h
i|i|h
vuelt|vuelt|h
entandre|entandre|h
##|##|h
or|or|h
oëz|oëz|h
seignor|seignor|h
que|que|h
je|je|h
di|di|h
##|##|h
ayme|ayme|h
por|por|h
aliane|aliane|h
ici|ici|h
##|##|h
fist|fist|h
le|le|h
romanz|romanz|h
tant|tant|h
sagement|sagement|h
##|##|h
que|que|h
telz|telz|h
l’|l’|h
orra|orra|h
qui|qui|h
no|no|h
l’|l’|h
antent|antent|h
##|##|h
por_qoi|por_qoi|h
i|i|h
fu|fu|h
et|et|h
faiz|faiz|h
et|et|h
diz|diz|h
i|i|h
##|##|h
por|por|h
juliane|juliane|h
fu|fu|h
escriz|escriz|h
##|##|h
toz_jorz_mais|toz_jorz_mais|h
en|en|h
ert|ert|h
remenbrace|remenbrace|h
##|##|h
il|il|h
ne|ne|h
fu|fu|h
mie|mie|h
faiz|faiz|h
en|en|h
france|france|h
##|##|h
mes|mes|h
en|en|h
la|la|h
langue|langue|h
de|de|h
francois|francois|h
##|##|h
les|les|h
fit|fit|h
aymes|aymes|h
en|en|h
lyonois|lyonois|h
##|##|h
aymes|aymes|h
i|i|h
mist|mist|h
s’|s’|h
entencïon|entencïon|h
.|.|h
##|##|h
le|le|h
romanz|romanz|h
fist|fist|h
à|à|h
chastillon|chastillon|h
##|##|h
de|de|h
felipon|felipon|h
de|de|h
macedoine|macedoine|h
##|##|h
que|que|h
fu|fu|h
noriz|noriz|h
en|en|h
babiloine|babiloine|h
##|##|h
et|et|h
del|del|h
fil|fil|h
au|au|h
duc|duc|h
mataquaz|mataquaz|h
##|##|h
qui|qui|h
estoit|estoit|h
sire|sire|h
de|de|h
duraz|duraz|h
##|##|h
florimont|florimont|h
ot|ot|h
nom|nom|h
en|en|h
francois|francois|h
##|##|h
eleneos|eleneos|h
dist|dist|h
en|en|h
grezois|grezois|h
##|##|h
rois|rois|h
fu|fu|h
et|et|h
se|se|h
conquist|conquist|h
assez|assez|h
##|##|h
dirai|dirai|h
vos|vos|h
et|et|h
se|se|h
m’|m’|h
escoutez|escoutez|h
##|##|h
sor|sor|h
aselge|aselge|h
à|à|h
chastillon|chastillon|h
##|##|h
estoit|estoit|h
aymes|aymes|h
une|une|h
sayson|sayson|h
##|##|h
et|et|h
porpansa|porpansa|h
soi|soi|h
de_l’|de_l’|h
estoire|estoire|h
##|##|h
qui|qui|h
il|il|h
avoit|avoit|h
en|en|h
sa|sa|h
memoire|memoire|h
##|##|h
il|il|h
l|l|h
'|'|h
avoit|avoit|h
en|en|h
grece|grece|h
veüe|veüe|h
##|##|h
mais|mais|h
n’|n’|h
estoit|estoit|h
pas|pas|h
par_tot|par_tot|h
seüe|seüe|h
##|##|h
à|à|h
felipople|felipople|h
la|la|h
trova|trova|h
##|##|h
à|à|h
chastillon|chastillon|h
l’|l’|h
en|en|h
aporta|aporta|h
##|##|h
ensi_com|ensi_com|h
il|il|h
l’|l’|h
avoit|avoit|h
aprise|aprise|h
##|##|h
l’|l’|h
a|a|h
de|de|h
latin|latin|h
en|en|h
romanz|romanz|h
mise|mise|h
##|##|h
aymes|aymes|h
de|de|h
varenes|varenes|h
retrait|retrait|h
##|##|h
de|de|h
anciens|anciens|h
or|or|h
qu’|qu’|h
il|il|h
ont|ont|h
fait|fait|h
##|##|h
les|les|h
faiz|faiz|h
com|com|h
ce|ce|h
des|des|h
anciens|anciens|h
##|##|h
qui|qui|h
tuit|tuit|h
cil|cil|h
qui|qui|h
ont|ont|h
le|le|h
cuers|cuers|h
veins|veins|h
