FORMA|KEY|SIGL
1va|1va|h
##|##|h
lors|lors|h
laisse|laisse|h
il|il|h
tost|tost|h
et|et|h
guerpist|guerpist|h
##|##|h
telz|telz|h
le|le|h
despant|despant|h
qui|qui|h
no|no|h
conquist|conquist|h
##|##|h
ne|ne|h
di|di|h
pas|pas|h
porce_que|porce_que|h
doner|doner|h
##|##|h
ne|ne|h
puet|puet|h
on|on|h
*|*|h
mlt|mlt|h
senz|senz|h
conquester|conquester|h
##|##|h
qui|qui|h
*|*|h
mlt|mlt|h
despant|despant|h
et|et|h
poi|poi|h
amasse|amasse|h
##|##|h
tot|tot|h
pert|pert|h
son|son|h
pris|pris|h
là_on|là_on|h
il|il|h
lasse|lasse|h
##|##|h
et|et|h
qui|qui|h
conquiert|conquiert|h
et|et|h
no|no|h
despant|despant|h
##|##|h
il|il|h
est|est|h
aïz|aïz|h
de|de|h
tote|tote|h
jant|jant|h
##|##|h
li|li|h
uns|uns|h
senz|senz|h
l’|l’|h
autre|autre|h
n’|n’|h
a|a|h
mestier|mestier|h
##|##|h
car|car|h
li|li|h
uns|uns|h
doit|doit|h
àl’|àl’|h
autre|autre|h
aidier|aidier|h
##|##|h
pou|pou|h
vaut|vaut|h
conquere|conquere|h
senz|senz|h
doner|doner|h
##|##|h
et|et|h
qui|qui|h
despant|despant|h
sanz|sanz|h
conquester|conquester|h
##|##|h
om|om|h
l’|l’|h
a|a|h
veï|veï|h
de|de|h
mante|mante|h
gent|gent|h
##|##|h
que|que|h
d’|d’|h
auqués|auqués|h
menent|menent|h
à|à|h
neient|neient|h
##|##|h
bons|bons|h
princes|princes|h
doit|doit|h
toz_jorz|toz_jorz|h
despandre|despandre|h
##|##|h
et|et|h
conquester|conquester|h
doner|doner|h
et|et|h
prandre|prandre|h
##|##|h
car|car|h
largece|largece|h
li|li|h
est|est|h
d’|d’|h
amor|amor|h
##|##|h
et|et|h
de|de|h
proëce|proëce|h
et|et|h
d’|d’|h
onor|onor|h
##|##|h
ensi|ensi|h
puet|puet|h
del|del|h
siegle|siegle|h
joir|joir|h
##|##|h
amor|amor|h
et|et|h
onor|onor|h
mantenir|mantenir|h
##|##|h
dont|dont|h
il|il|h
ert|ert|h
dou|dou|h
siegle|siegle|h
loëz|loëz|h
##|##|h
et|et|h
aprés|aprés|h
sa|sa|h
mort|mort|h
remenbrez|remenbrez|h
##|##|h
de|de|h
ce|ce|h
me|me|h
vueil|vueil|h
atant|atant|h
laissier|laissier|h
##|##|h
à|à|h
mon|mon|h
conte|conte|h
vueil|vueil|h
repairier|repairier|h
##|##|h
seignor|seignor|h
je|je|h
sai|sai|h
assez|assez|h
de|de|h
si|si|h
##|##|h
d’|d’|h
alixandre|alixandre|h
avez|avez|h
oï|oï|h
##|##|h
mes|mes|h
ne|ne|h
savez|savez|h
encore|encore|h
pas|pas|h
##|##|h
don|don|h
fu|fu|h
sa|sa|h
mere|mere|h
olinpias|olinpias|h
##|##|h
del|del|h
roi|roi|h
felipon|felipon|h
ne|ne|h
savez|savez|h
##|##|h
que|que|h
fu|fu|h
ses|ses|h
pere|pere|h
don|don|h
fu|fu|h
nez|nez|h
##|##|h
je|je|h
dirai|dirai|h
qui|qui|h
l’|l’|h
ai|ai|h
en|en|h
memoire|memoire|h
##|##|h
or|or|h
est|est|h
contez|contez|h
*|*|h
mlt|mlt|h
riche|riche|h
estoire|estoire|h
##|##|h
des|des|h
rois|rois|h
des|des|h
princes|princes|h
qui|qui|h
i|i|h
sont|sont|h
##|##|h
li_plus|li_plus|h
est|est|h
del|del|h
roi|roi|h
flormont|flormont|h
##|##|h
ce|ce|h
dist|dist|h
aymes|aymes|h
or|or|h
escoutez|escoutez|h
##|##|h
vos|vos|h
qui|qui|h
les|les|h
bons|bons|h
diz|diz|h
entendez|entendez|h
##|##|h
car|car|h
ci|ci|h
porront|porront|h
trover|trover|h
la|la|h
flor|flor|h
##|##|h
des|des|h
contes|contes|h
li|li|h
bon|bon|h
conteör|conteör|h
##|##|h
d’|d’|h
amor|amor|h
et|et|h
de|de|h
chevaleries|chevaleries|h
##|##|h
d’|d’|h
aventures|aventures|h
et|et|h
de|de|h
cortoisies|cortoisies|h
