FORMA|KEY|SIGL
1ra|1ra|t
##|##|t
cel|cel|t
qui|qui|t
a|a|t
cuer|cuer|t
de|de|t
vasalage|vasalage|t
##|##|t
et|et|t
veut|veut|t
amer|amer|t
de|de|t
fin|fin|t
corage|corage|t
##|##|t
si|si|t
doit|doit|t
hoïr|hoïr|t
et|et|t
escouter|escouter|t
##|##|t
ce|ce|t
que|que|t
aymes|aymes|t
veut|veut|t
reconter|reconter|t
##|##|t
asez|asez|t
i|i|t
puet|puet|t
de|de|t
bien|bien|t
aprandre|aprandre|t
##|##|t
si|si|t
de|de|t
bon|bon|t
cuer|cuer|t
i|i|t
veut|veut|t
entandre|entandre|t
##|##|t
segnor|segnor|t
or|or|t
hoiez|hoiez|t
que|que|t
je|je|t
di|di|t
##|##|t
aymes|aymes|t
por|por|t
amor|amor|t
que|que|t
ot|ot|t
en|en|t
li|li|t
##|##|t
fit|fit|t
le|le|t
romanz|romanz|t
tant|tant|t
sagemant|sagemant|t
##|##|t
que|que|t
teuz|teuz|t
l’|l’|t
ora|ora|t
qui|qui|t
ne|ne|t
l’|l’|t
entent|entent|t
##|##|t
por_quoi|por_quoi|t
il|il|t
fu|fu|t
et|et|t
faiz|faiz|t
et|et|t
diz|diz|t
##|##|t
por|por|t
juliaine|juliaine|t
fu|fu|t
escriz|escriz|t
##|##|t
toz_jorz_mais|toz_jorz_mais|t
en|en|t
iert|iert|t
remenbrance|remenbrance|t
##|##|t
il|il|t
ne|ne|t
fu|fu|t
mie|mie|t
faiz|faiz|t
en|en|t
france|france|t
##|##|t
mais|mais|t
en|en|t
la|la|t
lengue|lengue|t
deuz|deuz|t
francois|francois|t
##|##|t
le|le|t
fit|fit|t
aymes|aymes|t
en|en|t
leonois|leonois|t
##|##|t
aymes|aymes|t
i|i|t
mit|mit|t
s’|s’|t
entencïon|entencïon|t
##|##|t
le|le|t
romanz|romanz|t
fit|fit|t
à|à|t
chastellon|chastellon|t
##|##|t
de|de|t
felipon|felipon|t
de|de|t
macedoine|macedoine|t
##|##|t
qui|qui|t
fu|fu|t
noriz|noriz|t
en|en|t
babiloine|babiloine|t
##|##|t
et|et|t
del|del|t
fil|fil|t
al|al|t
duc|duc|t
matequaz|matequaz|t
##|##|t
qui|qui|t
estoit|estoit|t
sire|sire|t
de|de|t
duraz|duraz|t
##|##|t
florimont|florimont|t
ot|ot|t
no|no|t
*|*|t
m|m|t
en|en|t
francois|francois|t
##|##|t
eleneos|eleneos|t
dist|dist|t
en|en|t
grezeois|grezeois|t
##|##|t
rois|rois|t
fu|fu|t
et|et|t
si|si|t
conquist|conquist|t
asez|asez|t
##|##|t
dirai|dirai|t
vos|vos|t
en|en|t
si|si|t
me|me|t
escutez|escutez|t
##|##|t
sor|sor|t
aselgue|aselgue|t
à|à|t
chastellon|chastellon|t
##|##|t
estoit|estoit|t
aymes|aymes|t
une|une|t
saison|saison|t
##|##|t
et|et|t
porpensa|porpensa|t
soi|soi|t
de_l’|de_l’|t
estoire|estoire|t
##|##|t
que|que|t
il|il|t
avoit|avoit|t
en|en|t
sa|sa|t
memoire|memoire|t
##|##|t
il|il|t
l’|l’|t
avoit|avoit|t
en|en|t
greze|greze|t
veüe|veüe|t
##|##|t
mais|mais|t
n’|n’|t
estoit|estoit|t
pas|pas|t
par_tot|par_tot|t
saüe|saüe|t
##|##|t
à|à|t
felipople|felipople|t
la|la|t
trova|trova|t
##|##|t
à|à|t
chastellon|chastellon|t
l’|l’|t
en|en|t
aporta|aporta|t
##|##|t
ainsi_con|ainsi_con|t
il|il|t
l’|l’|t
avoit|avoit|t
enprise|enprise|t
##|##|t
l’|l’|t
a|a|t
de|de|t
latin|latin|t
en|en|t
romanz|romanz|t
mise|mise|t
##|##|t
aymes|aymes|t
de|de|t
varenes|varenes|t
retrait|retrait|t
##|##|t
des|des|t
ancieins|ancieins|t
ce|ce|t
qu’|qu’|t
il|il|t
ont|ont|t
fait|fait|t
