FORMA|KEY|SIGL
1rb|1rb|t
##|##|t
le|le|t
fait|fait|t
conte|conte|t
des|des|t
ancieins|ancieins|t
##|##|t
que|que|t
tuit|tuit|t
cil|cil|t
qui|qui|t
ont|ont|t
les|les|t
cuers|cuers|t
vains|vains|t
##|##|t
aient|aient|t
de|de|t
lor|lor|t
proëce|proëce|t
envie|envie|t
##|##|t
por|por|t
emender|emender|t
lor|lor|t
fause|fause|t
vie|vie|t
##|##|t
por|por|t
les|les|t
ancieins|ancieins|t
remenbrer|remenbrer|t
##|##|t
vos|vos|t
veil|veil|t
dire|dire|t
et|et|t
reconter|reconter|t
##|##|t
si_con|si_con|t
j’|j’|t
ai|ai|t
en|en|t
escrit|escrit|t
trové|trové|t
##|##|t
d’|d’|t
une|une|t
estoire|estoire|t
la|la|t
verité|verité|t
##|##|t
à|à|t
ceuz|ceuz|t
qui|qui|t
firont|firont|t
les|les|t
bons|bons|t
faz|faz|t
##|##|t
por|por|t
coi|coi|t
li|li|t
conte|conte|t
sont|sont|t
retraiz|retraiz|t
##|##|t
devomes|devomes|t
nos|nos|t
toz_jorz|toz_jorz|t
antandre|antandre|t
##|##|t
quar|quar|t
adés|adés|t
i|i|t
puet|puet|t
on|on|t
aprandre|aprandre|t
##|##|t
que|que|t
cil|cil|t
mantenoient|mantenoient|t
honor|honor|t
##|##|t
proëce|proëce|t
et|et|t
foi|foi|t
et|et|t
amor|amor|t
##|##|t
à|à|t
cel|cel|t
tens|tens|t
estoit|estoit|t
amors|amors|t
vive|vive|t
##|##|t
qui|qui|t
or|or|t
est|est|t
morte|morte|t
et|et|t
chaitive|chaitive|t
##|##|t
de|de|t
joie|joie|t
fu|fu|t
dame|dame|t
et|et|t
roïne|roïne|t
##|##|t
or|or|t
est|est|t
avare|avare|t
et|et|t
frarine|frarine|t
##|##|t
non|non|t
avoit|avoit|t
pas|pas|t
enjan|enjan|t
ne|ne|t
vice|vice|t
##|##|t
mais|mais|t
or|or|t
se|se|t
muert|muert|t
por|por|t
avarice|avarice|t
##|##|t
or|or|t
ne|ne|t
veut|veut|t
pas|pas|t
amors|amors|t
noblece|noblece|t
##|##|t
mais|mais|t
celui|celui|t
veut|veut|t
qui|qui|t
a|a|t
richece|richece|t
##|##|t
ou|ou|t
soit|soit|t
gentiuz|gentiuz|t
ou|ou|t
soit|soit|t
vilains|vilains|t
##|##|t
amors|amors|t
tent|tent|t
par|par|t
toz|toz|t
leus|leus|t
se|se|t
mains|mains|t
##|##|t
s’|s’|t
il|il|t
est|est|t
vilains|vilains|t
culverz|culverz|t
provez|provez|t
##|##|t
sol_que|sol_que|t
il|il|t
ait|ait|t
d’|d’|t
avoir|avoir|t
asez|asez|t
##|##|t
bien|bien|t
ert|ert|t
serviz|serviz|t
et|et|t
receüz|receüz|t
##|##|t
mais|mais|t
il|il|t
n’|n’|t
est|est|t
mout|mout|t
de|de|t
deceüz|deceüz|t
##|##|t
quar|quar|t
il|il|t
ne|ne|t
set|set|t
ne|ne|t
il|il|t
ne|ne|t
voit|voit|t
##|##|t
coment|coment|t
li|li|t
avoirs|avoirs|t
le|le|t
decoit|decoit|t
##|##|t
quant|quant|t
lo|lo|t
conquiert|conquiert|t
n’|n’|t
a|a|t
joie|joie|t
vaine|vaine|t
##|##|t
et|et|t
quant|quant|t
lo|lo|t
pert|pert|t
dolor|dolor|t
certaine|certaine|t
##|##|t
ne|ne|t
·l|·l|t
puet|puet|t
pas|pas|t
garder|garder|t
logemant|logemant|t
##|##|t
que|que|t
ne|ne|t
·l|·l|t
perde|perde|t
s’|s’|t
il|il|t
ne|ne|t
·l|·l|t
despant|despant|t
##|##|t
avoirs|avoirs|t
est|est|t
perduz|perduz|t
maintes|maintes|t
parz|parz|t
##|##|t
avairs|avairs|t
hon|hon|t
n’|n’|t
ert|ert|t
ja|ja|t
senz|senz|t
reguart|reguart|t
##|##|t
qui|qui|t
·l|·l|t
pert|pert|t
en|en|t
terre|terre|t
et|et|t
pert|pert|t
en|en|t
mer|mer|t
##|##|t
por|por|t
robëors|robëors|t
et|et|t
por|por|t
enbler|enbler|t
