FORMA|KEY|SIGL
1va|1va|t
##|##|t
por|por|t
mal|mal|t
segnor|segnor|t
pert|pert|t
et|et|t
por|por|t
guera|guera|t
##|##|t
quant|quant|t
muert|muert|t
pert|pert|t
l’|l’|t
avoir|avoir|t
et|et|t
la|la|t
terra|terra|t
##|##|t
lors|lors|t
lait|lait|t
il|il|t
treitot|treitot|t
et|et|t
grepit|grepit|t
##|##|t
teuz|teuz|t
le|le|t
despent|despent|t
qui|qui|t
ne|ne|t
·l|·l|t
conquist|conquist|t
##|##|t
ne|ne|t
·l|·l|t
di|di|t
pas|pas|t
porce_que|porce_que|t
doner|doner|t
##|##|t
ne|ne|t
puet|puet|t
on|on|t
pas|pas|t
senz|senz|t
conquester|conquester|t
##|##|t
qui|qui|t
mout|mout|t
despent|despent|t
et|et|t
poi|poi|t
amase|amase|t
##|##|t
tot|tot|t
pert|pert|t
son|son|t
pris|pris|t
lai_ont|lai_ont|t
il|il|t
laise|laise|t
##|##|t
et|et|t
qui|qui|t
conquiert|conquiert|t
et|et|t
no|no|t
despent|despent|t
##|##|t
il|il|t
est|est|t
aïz|aïz|t
de|de|t
mainte|mainte|t
jant|jant|t
##|##|t
li|li|t
uns|uns|t
senz|senz|t
l’|l’|t
autre|autre|t
n’|n’|t
a|a|t
mestier|mestier|t
##|##|t
quar|quar|t
li|li|t
uns|uns|t
doit|doit|t
àl’|àl’|t
autre|autre|t
aidier|aidier|t
##|##|t
poi|poi|t
vaut|vaut|t
conquere|conquere|t
senz|senz|t
doner|doner|t
##|##|t
et|et|t
qui|qui|t
despent|despent|t
senz|senz|t
conquester|conquester|t
##|##|t
hon|hon|t
l’|l’|t
a|a|t
veü|veü|t
de|de|t
mainte|mainte|t
jant|jant|t
##|##|t
qui|qui|t
d’|d’|t
auqués|auqués|t
vienent|vienent|t
à|à|t
noient|noient|t
##|##|t
bons|bons|t
princes|princes|t
doit|doit|t
toz_jorz|toz_jorz|t
despandre|despandre|t
##|##|t
et|et|t
conquester|conquester|t
doner|doner|t
et|et|t
prandre|prandre|t
##|##|t
quar|quar|t
largece|largece|t
est|est|t
mere|mere|t
d’|d’|t
amor|amor|t
##|##|t
et|et|t
de|de|t
prohece|prohece|t
et|et|t
de|de|t
honor|honor|t
##|##|t
ainsi|ainsi|t
puet|puet|t
del|del|t
segle|segle|t
joïr|joïr|t
##|##|t
amor|amor|t
et|et|t
henor|henor|t
maintenir|maintenir|t
##|##|t
dont|dont|t
il|il|t
ert|ert|t
del|del|t
segle|segle|t
loëz|loëz|t
##|##|t
et|et|t
aprés|aprés|t
sa|sa|t
mort|mort|t
remenbrez|remenbrez|t
##|##|t
de|de|t
ce|ce|t
me|me|t
doi|doi|t
atant|atant|t
laisier|laisier|t
##|##|t
à|à|t
mon|mon|t
conte|conte|t
doi|doi|t
repairier|repairier|t
##|##|t
segnor|segnor|t
je|je|t
·l|·l|t
sai|sai|t
assez|assez|t
de_fi|de_fi|t
##|##|t
que|que|t
d’|d’|t
alixandre|alixandre|t
avez|avez|t
hoï|hoï|t
##|##|t
mais|mais|t
ne|ne|t
savez|savez|t
encores|encores|t
pas|pas|t
##|##|t
dont|dont|t
fu|fu|t
sa|sa|t
mere|mere|t
olinpias|olinpias|t
##|##|t
je|je|t
·l|·l|t
dirai|dirai|t
qui|qui|t
l’|l’|t
ai|ai|t
en|en|t
memoire|memoire|t
##|##|t
or|or|t
escustez|escustez|t
mout|mout|t
riche|riche|t
estoire|estoire|t
##|##|t
deuz|deuz|t
rois|rois|t
des|des|t
princes|princes|t
qui|qui|t
i|i|t
sont|sont|t
##|##|t
li_pluis|li_pluis|t
est|est|t
del|del|t
roi|roi|t
floremont|floremont|t
##|##|t
ce|ce|t
dist|dist|t
aymes|aymes|t
or|or|t
escoutez|escoutez|t
##|##|t
vos|vos|t
qui|qui|t
les|les|t
bons|bons|t
diz|diz|t
entendez|entendez|t
##|##|t
quar|quar|t
ci|ci|t
poront|poront|t
trover|trover|t
la|la|t
flor|flor|t
##|##|t
deuz|deuz|t
contes|contes|t
li|li|t
bon|bon|t
conteör|conteör|t
