a|a||||||
aliane|aliane||||||
amer|amer||||||
anciens|anciens||||||
aporta|aporta||||||
aprandre|aprandre||||||
aprise|aprise||||||
aselge|aselge||||||
assez|assez||||||
au|au||||||
avoit|avoit||||||
ayme|ayme||||||
aymes|aymes||||||
babiloine|babiloine||||||
bien|bien||||||
buen|buen||||||
ce|ce||||||
chastillon|chastillon||||||
cil|cil||||||
com|com||||||
conquist|conquist||||||
corage|corage||||||
cuer|cuer||||||
cuers|cuers||||||
de|de||||||
de_l’estoire|de_l’estoire||||||
del|del||||||
des|des||||||
di|di||||||
dirai|dirai||||||
dist|dist||||||
diz		i|diz		i||||||
doit|doit||||||
duc|duc||||||
duraz|duraz||||||
eleneos|eleneos||||||
en|en||||||
ensi_com|ensi_com||||||
entandre|entandre||||||
ert|ert||||||
escouter|escouter||||||
escriz|escriz||||||
estoit|estoit||||||
et|et||||||
fait|fait||||||
faiz|faiz||||||
felipon|felipon||||||
felipople|felipople||||||
fil|fil||||||
fin|fin||||||
fist|fist||||||
fit|fit||||||
florimont|florimont||||||
france|france||||||
francois|francois||||||
fu|fu||||||
grece|grece||||||
grezois|grezois||||||
i|i||||||
ici|ici||||||
il|il||||||
je|je||||||
juliane|juliane||||||
l'avoit|l'avoit||||||
la|la||||||
langue|langue||||||
latin|latin||||||
le|le||||||
les|les||||||
lyonois|lyonois||||||
l’a|l’a||||||
l’antent|l’antent||||||
l’avoit|l’avoit||||||
l’en|l’en||||||
l’orra|l’orra||||||
macedoine|macedoine||||||
mais|mais||||||
mataquaz|mataquaz||||||
memoire|memoire||||||
mes|mes||||||
mie|mie||||||
mise|mise||||||
mist|mist||||||
m’escoutez|m’escoutez||||||
ne|ne||||||
no|no||||||
nom|nom||||||
noriz|noriz||||||
n’estoit|n’estoit||||||
ont|ont||||||
or|or||||||
ot|ot||||||
oëz|oëz||||||
oïr|oïr||||||
par_tot|par_tot||||||
pas|pas||||||
por|por||||||
por_qoi|por_qoi||||||
porpansa|porpansa||||||
puet|puet||||||
que|que||||||
qui|qui||||||
qu’il|qu’il||||||
raconter|raconter||||||
remenbrace|remenbrace||||||
retrait|retrait||||||
rois|rois||||||
romanz|romanz||||||
sa|sa||||||
sagement|sagement||||||
sayson|sayson||||||
se|se||||||
seignor|seignor||||||
seüe|seüe||||||
sire|sire||||||
soi|soi||||||
sor|sor||||||
s’entencïon.|s’entencïon.||||||
tant|tant||||||
telz|telz||||||
toz_jorz_mais|toz_jorz_mais||||||
trova|trova||||||
tuit|tuit||||||
une|une||||||
varenes|varenes||||||
vassalage|vassalage||||||
veins|veins||||||
veüe|veüe||||||
vos|vos||||||
vuelt|vuelt||||||
à|à||||||
