a|a||||||
adés|adés||||||
ai|ai||||||
aient|aient||||||
ait|ait||||||
amender|amender||||||
amors|amors||||||
amours|amours||||||
anciens|anciens||||||
aporta|aporta||||||
aprendre|aprendre||||||
aprise|aprise||||||
assez|assez||||||
avarice|avarice||||||
aveirs|aveirs||||||
avoir|avoir||||||
aymes|aymes||||||
bien|bien||||||
bons|bons||||||
car|car||||||
ce|ce||||||
cel|cel||||||
cellui|cellui||||||
chaitive|chaitive||||||
chastillons|chastillons||||||
chative|chative||||||
ci|ci||||||
ciaus|ciaus||||||
cil|cil||||||
cis|cis||||||
comment|comment||||||
conquiert|conquiert||||||
conte|conte||||||
coronnee|coronnee||||||
cuers|cuers||||||
cuvers|cuvers||||||
dame|dame||||||
de|de||||||
decheüs|decheüs||||||
decoit|decoit||||||
des|des||||||
despent|despent||||||
devise|devise||||||
devonsme|devonsme||||||
dire|dire||||||
dou|dou||||||
d’avarice|d’avarice||||||
d’ounour|d’ounour||||||
d’une|d’une||||||
embler|embler||||||
en|en||||||
engien|engien||||||
ensis_comme|ensis_comme||||||
entendre|entendre||||||
envie|envie||||||
ert|ert||||||
escript|escript||||||
est|est||||||
estoire|estoire||||||
estoit|estoit||||||
et|et||||||
e·mainte|e·mainte||||||
fais|fais||||||
fait|fait||||||
fausse|fausse||||||
firent|firent||||||
fois|fois||||||
fors|fors||||||
fu|fu||||||
garder|garder||||||
gentis|gentis||||||
guerre|guerre||||||
hon|hon||||||
hounours|hounours||||||
i|i||||||
iert|iert||||||
il|il||||||
ja|ja||||||
joi|joi||||||
joie|joie||||||
la|la||||||
le|le||||||
lens|lens||||||
les|les||||||
li|li||||||
longement|longement||||||
lor|lor||||||
lors|lors||||||
luis|luis||||||
l’a|l’a||||||
l’avoir|l’avoir||||||
l’avoit|l’avoit||||||
l’en|l’en||||||
mains|mains||||||
maintenoient|maintenoient||||||
mais|mais||||||
mal|mal||||||
mer|mer||||||
morte|morte||||||
muert|muert||||||
ne|ne||||||
ne·l|ne·l||||||
noblesce|noblesce||||||
nous|nous||||||
n’avoit|n’avoit||||||
n’iert|n’iert||||||
on|on||||||
ont|ont||||||
or|or||||||
ou|ou||||||
painne|painne||||||
par|par||||||
part|part||||||
pas|pas||||||
perde|perde||||||
pert|pert||||||
phellipople|phellipople||||||
plainne|plainne||||||
pour|pour||||||
prouesces|prouesces||||||
prouese|prouese||||||
provez|provez||||||
puet|puet||||||
quant|quant||||||
que|que||||||
qui|qui||||||
qui·l|qui·l||||||
quoi|quoi||||||
qu’il|qu’il||||||
ramembrer|ramembrer||||||
renart|renart||||||
retenus|retenus||||||
retrait|retrait||||||
richesce|richesce||||||
riconter|riconter||||||
robeours|robeours||||||
roumans|roumans||||||
roïne|roïne||||||
s'il|s'il||||||
sa|sa||||||
scet|scet||||||
se|se||||||
servis|servis||||||
ses|ses||||||
si_comme|si_comme||||||
signour|signour||||||
soit|soit||||||
tens|tens||||||
tent|tent||||||
terre|terre||||||
tos|tos||||||
tous_dis|tous_dis||||||
tout|tout||||||
travail|travail||||||
trouva|trouva||||||
trouvé|trouvé||||||
tuee|tuee||||||
varennes|varennes||||||
verté|verté||||||
vice|vice||||||
vie|vie||||||
vilains|vilains||||||
vive|vive||||||
voit|voit||||||
vous|vous||||||
wel|wel||||||
welt|welt||||||
à|à||||||
