aidier|aidier||||||
amasse|amasse||||||
amours|amours||||||
aprés|aprés||||||
assez|assez||||||
atant|atant||||||
avez|avez||||||
aymes|aymes||||||
bon|bon||||||
bons|bons||||||
ce|ce||||||
chevallerie|chevallerie||||||
ci|ci||||||
conquester|conquester||||||
conquiert|conquiert||||||
conquist|conquist||||||
conte|conte||||||
conteour|conteour||||||
contes|contes||||||
courtoisie|courtoisie||||||
dame|dame||||||
de|de||||||
de_fit|de_fit||||||
dener|dener||||||
des|des||||||
despendre|despendre||||||
despent|despent||||||
deuz|deuz||||||
di|di||||||
dirai|dirai||||||
dis|dis||||||
dist|dist||||||
doit|doit||||||
dont|dont||||||
dou|dou||||||
d’alixandre|d’alixandre||||||
d’amours|d’amours||||||
d’auqués|d’auqués||||||
d’aventure|d’aventure||||||
d’ounour|d’ounour||||||
en|en||||||
encore|encore||||||
ensis|ensis||||||
entendez|entendez||||||
escoutez|escoutez||||||
est|est||||||
estoire|estoire||||||
et|et||||||
faites|faites||||||
florimont|florimont||||||
flour|flour||||||
fu|fu||||||
gent|gent||||||
ge·l|ge·l||||||
guerpist|guerpist||||||
haïs|haïs||||||
hounors|hounors||||||
iert|iert||||||
il|il||||||
je|je||||||
joïr|joïr||||||
la|la||||||
laissier|laissier||||||
lait|lait||||||
largece|largece||||||
largesce|largesce||||||
lasse|lasse||||||
le|le||||||
les|les||||||
li|li||||||
liplus|liplus||||||
lors|lors||||||
loëz|loëz||||||
là_où|là_où||||||
l’a|l’a||||||
l’ai|l’ai||||||
l’autre|l’autre||||||
mainte|mainte||||||
maintenir|maintenir||||||
mais|mais||||||
me|me||||||
mere|mere||||||
mestier|mestier||||||
mimoire|mimoire||||||
mon|mon||||||
mort|mort||||||
ne|ne||||||
neent|neent||||||
nez|nez||||||
ne·l|ne·l||||||
n’a|n’a||||||
oiés|oiés||||||
olimpias|olimpias||||||
on|on||||||
or|or||||||
oït|oït||||||
pais|pais||||||
pas|pas||||||
pau|pau||||||
peres|peres||||||
pert|pert||||||
peu|peu||||||
phellipon|phellipon||||||
porce_que|porce_que||||||
porront|porront||||||
prendre|prendre||||||
princes|princes||||||
pris|pris||||||
prouesce|prouesce||||||
puet|puet||||||
quar|quar||||||
que|que||||||
qui|qui||||||
qu’est|qu’est||||||
ramembrez|ramembrez||||||
repairier|repairier||||||
riche|riche||||||
roi|roi||||||
rois|rois||||||
sa|sa||||||
sai|sai||||||
sans|sans||||||
savez|savez||||||
ses|ses||||||
siecle|siecle||||||
signor|signor||||||
signour|signour||||||
son|son||||||
sont|sont||||||
teiz|teiz||||||
tost|tost||||||
tout|tout||||||
trover|trover||||||
uns|uns||||||
valour|valour||||||
vaut|vaut||||||
veüt|veüt||||||
viennent|viennent||||||
vous|vous||||||
wel|wel||||||
à|à||||||
àl’autre|àl’autre||||||
