a|a||||||
ainsi_con|ainsi_con||||||
al|al||||||
amer|amer||||||
amor|amor||||||
ancieins|ancieins||||||
aporta|aporta||||||
aprandre|aprandre||||||
aselgue|aselgue||||||
asez|asez||||||
avoit|avoit||||||
aymes|aymes||||||
babiloine|babiloine||||||
bien|bien||||||
bon|bon||||||
ce|ce||||||
cel|cel||||||
chastellon|chastellon||||||
conquist|conquist||||||
corage|corage||||||
cuer|cuer||||||
de|de||||||
de_l’estoire|de_l’estoire||||||
del|del||||||
des|des||||||
deuz|deuz||||||
di|di||||||
dirai|dirai||||||
dist|dist||||||
diz|diz||||||
doit|doit||||||
duc|duc||||||
duraz|duraz||||||
eleneos|eleneos||||||
en|en||||||
enprise|enprise||||||
entandre|entandre||||||
escouter|escouter||||||
escriz|escriz||||||
escutez|escutez||||||
estoit|estoit||||||
et|et||||||
fait|fait||||||
faiz|faiz||||||
felipon|felipon||||||
felipople|felipople||||||
fil|fil||||||
fin|fin||||||
fit|fit||||||
florimont|florimont||||||
france|france||||||
francois|francois||||||
fu|fu||||||
greze|greze||||||
grezeois|grezeois||||||
hoiez|hoiez||||||
hoïr|hoïr||||||
i|i||||||
iert|iert||||||
il|il||||||
je|je||||||
juliaine|juliaine||||||
la|la||||||
latin|latin||||||
le|le||||||
lengue|lengue||||||
leonois|leonois||||||
li|li||||||
l’a|l’a||||||
l’avoit|l’avoit||||||
l’en|l’en||||||
l’entent|l’entent||||||
l’ora|l’ora||||||
macedoine|macedoine||||||
mais|mais||||||
matequaz|matequaz||||||
me|me||||||
memoire|memoire||||||
mie|mie||||||
mise|mise||||||
mit|mit||||||
ne|ne||||||
no*m|no*m||||||
noriz|noriz||||||
n’estoit|n’estoit||||||
ont|ont||||||
or|or||||||
ot|ot||||||
par_tot|par_tot||||||
pas|pas||||||
por|por||||||
por_quoi|por_quoi||||||
porpensa|porpensa||||||
puet|puet||||||
que|que||||||
qui|qui||||||
qu’il|qu’il||||||
reconter|reconter||||||
remenbrance|remenbrance||||||
retrait|retrait||||||
rois|rois||||||
romanz|romanz||||||
sa|sa||||||
sagemant|sagemant||||||
saison|saison||||||
saüe|saüe||||||
segnor|segnor||||||
si|si||||||
sire|sire||||||
soi|soi||||||
sor|sor||||||
s’entencïon|s’entencïon||||||
tant|tant||||||
teuz|teuz||||||
toz_jorz_mais|toz_jorz_mais||||||
trova|trova||||||
une|une||||||
varenes|varenes||||||
vasalage|vasalage||||||
veut|veut||||||
veüe|veüe||||||
vos|vos||||||
à|à||||||
