a|a||||||
adés|adés||||||
aient|aient||||||
ait|ait||||||
amor|amor||||||
amors|amors||||||
ancieins|ancieins||||||
antandre|antandre||||||
aprandre|aprandre||||||
asez|asez||||||
avairs|avairs||||||
avare|avare||||||
avarice|avarice||||||
avoirs|avoirs||||||
avoit|avoit||||||
bien|bien||||||
bons|bons||||||
cel|cel||||||
celui|celui||||||
certaine|certaine||||||
ceuz|ceuz||||||
chaitive|chaitive||||||
cil|cil||||||
coi|coi||||||
coment|coment||||||
conquiert|conquiert||||||
conte|conte||||||
cuers|cuers||||||
culverz|culverz||||||
dame|dame||||||
de|de||||||
deceüz|deceüz||||||
decoit|decoit||||||
des|des||||||
despant|despant||||||
devomes|devomes||||||
dire|dire||||||
dolor|dolor||||||
d’avoir|d’avoir||||||
d’une|d’une||||||
emender|emender||||||
en|en||||||
enbler|enbler||||||
enjan|enjan||||||
envie|envie||||||
ert|ert||||||
escrit|escrit||||||
est|est||||||
estoire|estoire||||||
estoit|estoit||||||
et|et||||||
fait|fait||||||
fause|fause||||||
faz|faz||||||
firont|firont||||||
foi|foi||||||
frarine|frarine||||||
fu|fu||||||
garder|garder||||||
gentiuz|gentiuz||||||
hon|hon||||||
honor|honor||||||
i|i||||||
il|il||||||
ja|ja||||||
joie|joie||||||
j’ai|j’ai||||||
la|la||||||
le|le||||||
les|les||||||
leus|leus||||||
li|li||||||
lo|lo||||||
logemant|logemant||||||
lor|lor||||||
mains|mains||||||
maintes|maintes||||||
mais|mais||||||
mantenoient|mantenoient||||||
mer|mer||||||
morte|morte||||||
mout|mout||||||
muert|muert||||||
ne|ne||||||
ne·l|ne·l||||||
noblece|noblece||||||
non|non||||||
nos|nos||||||
n’a|n’a||||||
n’ert|n’ert||||||
n’est|n’est||||||
on|on||||||
ont|ont||||||
or|or||||||
ou|ou||||||
par|par||||||
parz|parz||||||
pas|pas||||||
perde|perde||||||
perduz|perduz||||||
pert|pert||||||
por|por||||||
provez|provez||||||
proëce|proëce||||||
puet|puet||||||
quant|quant||||||
quar|quar||||||
que|que||||||
qui|qui||||||
qui·l|qui·l||||||
receüz|receüz||||||
reconter|reconter||||||
reguart|reguart||||||
remenbrer|remenbrer||||||
retraiz|retraiz||||||
richece|richece||||||
robëors|robëors||||||
roïne|roïne||||||
se|se||||||
senz|senz||||||
serviz|serviz||||||
set|set||||||
si_con|si_con||||||
soit|soit||||||
sol_que|sol_que||||||
sont|sont||||||
s’il|s’il||||||
tens|tens||||||
tent|tent||||||
terre|terre||||||
toz|toz||||||
toz_jorz|toz_jorz||||||
trové|trové||||||
tuit|tuit||||||
vaine|vaine||||||
vains|vains||||||
veil|veil||||||
verité|verité||||||
veut|veut||||||
vice|vice||||||
vie|vie||||||
vilains|vilains||||||
vive|vive||||||
voit|voit||||||
vos|vos||||||
à|à||||||
