aimes|aimes||||||
ainsi_comme|ainsi_comme||||||
amender|amender||||||
anciens|anciens||||||
apporta|apporta||||||
apprise|apprise||||||
avoit|avoit||||||
ayent|ayent||||||
bien|bien||||||
bons|bons||||||
car|car||||||
ce|ce||||||
ceulx|ceulx||||||
chastillon|chastillon||||||
cilz|cilz||||||
contes|contes||||||
cuers|cuers||||||
de|de||||||
de_l’istoire|de_l’istoire||||||
de_seure|de_seure||||||
des|des||||||
desseure|desseure||||||
dire|dire||||||
drois|drois||||||
du|du||||||
d’une|d’une||||||
eleneos|eleneos||||||
en|en||||||
envie|envie||||||
escript|escript||||||
esta|esta||||||
estoit|estoit||||||
et|et||||||
fai|fai||||||
fait|fait||||||
firent|firent||||||
florimont|florimont||||||
francois|francois||||||
fust|fust||||||
grece|grece||||||
hystoyre|hystoyre||||||
il|il||||||
i·l|i·l||||||
je|je||||||
jour|jour||||||
j’ay|j’ay||||||
la|la||||||
latin|latin||||||
le|le||||||
les|les||||||
leur|leur||||||
là|là||||||
l’a|l’a||||||
l’en|l’en||||||
mais|mais||||||
male|male||||||
memoire|memoire||||||
mise|mise||||||
moult|moult||||||
nom|nom||||||
n’estoit|n’estoit||||||
ont|ont||||||
ot|ot||||||
où|où||||||
par_tout|par_tout||||||
pas|pas||||||
phellipople|phellipople||||||
porpensa|porpensa||||||
pour|pour||||||
pource|pource||||||
pourpensa|pourpensa||||||
proësse|proësse||||||
que|que||||||
qui|qui||||||
qu’il|qu’il||||||
racompter|racompter||||||
remembrer|remembrer||||||
retrait|retrait||||||
rouman|rouman||||||
roumant|roumant||||||
sa|sa||||||
saine|saine||||||
saison|saison||||||
savons|savons||||||
sceüe|sceüe||||||
se|se||||||
si_com|si_com||||||
tous|tous||||||
trouva|trouva||||||
trouvé|trouvé||||||
une|une||||||
ung|ung||||||
vains|vains||||||
verité|verité||||||
veulx|veulx||||||
veüe|veüe||||||
vharenne|vharenne||||||
vie|vie||||||
voulons|voulons||||||
vous|vous||||||
à|à||||||
