1ra
cil|1ra
cil
qui|qui
a|a
cuer|cuer
de|de
vassalage
et|vassalage
et
vuelt|vuelt
amer|amer
de|de
fin|fin
corage
se|corage
se
doit|doit
oïr|oïr
et|et
escouter
ce|escouter
ce
que|que
aymes|aymes
vuelt|vuelt
raconter
assez|raconter
assez
i|i
puet|puet
de|de
bien|bien
aprandre
qui|aprandre
qui
de|de
buen|buen
cuer|cuer
i|i
vuelt|vuelt
entandre
or|entandre
or
oëz|oëz
seignor|seignor
que|que
je|je
di
ayme|di
ayme
por|por
aliane|aliane
ici
fist|ici
fist
le|le
romanz|romanz
tant|tant
sagement
que|sagement
que
telz|telz
l’|l’
orra|orra
qui|qui
no|no
l’|l’
antent
por_qoi|antent
por_qoi
i|i
fu|fu
et|et
faiz|faiz
et|et
diz|diz
i
por|i
por
juliane|juliane
fu|fu
escriz
toz_jorz_mais|escriz
toz_jorz_mais
en|en
ert|ert
remenbrace
il|remenbrace
il
ne|ne
fu|fu
mie|mie
faiz|faiz
en|en
france
mes|france
mes
en|en
la|la
langue|langue
de|de
francois
les|francois
les
fit|fit
aymes|aymes
en|en
lyonois
aymes|lyonois
aymes
i|i
mist|mist
s’|s’
entencïon|entencïon
.|.
le|le
romanz|romanz
fist|fist
à|à
chastillon
de|chastillon
de
felipon|felipon
de|de
macedoine
que|macedoine
que
fu|fu
noriz|noriz
en|en
babiloine
et|babiloine
et
del|del
fil|fil
au|au
duc|duc
mataquaz
qui|mataquaz
qui
estoit|estoit
sire|sire
de|de
duraz
florimont|duraz
florimont
ot|ot
nom|nom
en|en
francois
eleneos|francois
eleneos
dist|dist
en|en
grezois
rois|grezois
rois
fu|fu
et|et
se|se
conquist|conquist
assez
dirai|assez
dirai
vos|vos
et|et
se|se
m’|m’
escoutez
sor|escoutez
sor
aselge|aselge
à|à
chastillon
estoit|chastillon
estoit
aymes|aymes
une|une
sayson
et|sayson
et
porpansa|porpansa
soi|soi
de_l’|de_l’
estoire
qui|estoire
qui
il|il
avoit|avoit
en|en
sa|sa
memoire
il|memoire
il
l|l
'|'
avoit|avoit
en|en
grece|grece
veüe
mais|veüe
mais
n’|n’
estoit|estoit
pas|pas
par_tot|par_tot
seüe
à|seüe
à
felipople|felipople
la|la
trova
à|trova
à
chastillon|chastillon
l’|l’
en|en
aporta
ensi_com|aporta
ensi_com
il|il
l’|l’
avoit|avoit
aprise
l’|aprise
l’
a|a
de|de
latin|latin
en|en
romanz|romanz
mise
aymes|mise
aymes
de|de
varenes|varenes
retrait
de|retrait
de
anciens|anciens
or|or
qu’|qu’
il|il
ont|ont
fait
les|fait
les
faiz|faiz
com|com
ce|ce
des|des
anciens
qui|anciens
qui
tuit|tuit
cil|cil
qui|qui
ont|ont
le|le
cuers|cuers
veins|veins
