1rb
ayent|1rb
ayent
de|de
lor|lor
proïce|proïce
envie|envie
*|*
p|p
amender|amender
lor|lor
fausse|fausse
vie|vie
*|*
p|p
les|les
anciens|anciens
remanbrer
vos|remanbrer
vos
voill|voill
dire|dire
et|et
raconter
ensi_com|raconter
ensi_com
ay|ay
escrit|escrit
trové
d’|trové
d’
on|on
estoyre|estoyre
la|la
verité
à|verité
à
ceuz|ceuz
qui|qui
firent|firent
le|le
biauz|biauz
faiz|faiz
*|*
p|p
quoi|quoi
li|li
contes|contes
est|est
retraiz
devonsmes|retraiz
devonsmes
nos|nos
toz_jorz|toz_jorz
entandre
car|entandre
car
adés|adés
y|y
puet|puet
om|om
enprandre
que|enprandre
que
cil|cil
mantenoient|mantenoient
onor
proëce|onor
proëce
et|et
foy|foy
et|et
amor
à|amor
à
cel|cel
tenps|tenps
estoit|estoit
amors|amors
vive
que|vive
que
or|or
est|est
morte|morte
et|et
chative
de|chative
de
ce|ce
fu|fu
dame|dame
et|et
roïne
or|roïne
or
est|est
avere|avere
et|et
frarine
lors|frarine
lors
estoit|estoit
d’|d’
onor|onor
coronee
or|coronee
or
est|est
*|*
p|p
covoitise|covoitise
tuee
non|tuee
non
avoit|avoit
pas|pas
enjant|enjant
ne|ne
vice
or|vice
or
se|se
muert|muert
car|car
por|por
avarice
or|avarice
or
ne|ne
quiert|quiert
pas|pas
amors|amors
noblece
des|noblece
des
celui|celui
vuel|vuel
qui|qui
a|a
richece
ou|richece
ou
soit|soit
gentis|gentis
o|o
soit|soit
valains
amors|valains
amors
tent|tent
par_trestot|par_trestot
les|les
mains|mains
[|[
.|.
.|.
.|.
]|]
est|est
vilain|vilain
cuvers|cuvers
provez
sol_que|provez
sol_que
[|[
.|.
.|.
.|.
]|]
deniers|deniers
assez
bien|assez
bien
ert|ert
servis|servis
et|et
receüs
mes|receüs
mes
il|il
n’|n’
est|est
*|*
mlt|mlt
tost|tost
deceüs
car|deceüs
car
il|il
ne|ne
set|set
ne|ne
il|il
ne|ne
voit
coment|voit
coment
li|li
avoirs|avoirs
le|le
decoit
quant|decoit
quant
le|le
conquiert|conquiert
n’|n’
a|a
joie|joie
vaine
et|vaine
et
quant|quant
le|le
pert|pert
dolor|dolor
certaine
ne|certaine
ne
puet|puet
pas|pas
garder|garder
longemant
qui|longemant
qui
no|no
·l|·l
perde|perde
qui|qui
nos|nos
despant
avoirs|despant
avoirs
est|est
perdus|perdus
mante|mante
part
avars|part
avars
hom|hom
n’|n’
iert|iert
ja|ja
sengart
qui|sengart
qui
pert|pert
en|en
terre|terre
et|et
pert|pert
en|en
mer|mer
*|*
p|p
robeörs|robeörs
et|et
*|*
p|p
enbler|enbler
*|*
p|p
mal|mal
seignor|seignor
pert|pert
et|et
*|*
p|p
guerre
quant|guerre
quant
muert|muert
pert|pert
l’|l’
avoir|avoir
et|et
la|la
terre|terre
