1va
lors|1va
lors
laisse|laisse
il|il
tost|tost
et|et
guerpist
telz|guerpist
telz
le|le
despant|despant
qui|qui
no|no
conquist
ne|conquist
ne
di|di
pas|pas
porce_que|porce_que
doner
ne|doner
ne
puet|puet
on|on
*|*
mlt|mlt
senz|senz
conquester
qui|conquester
qui
*|*
mlt|mlt
despant|despant
et|et
poi|poi
amasse
tot|amasse
tot
pert|pert
son|son
pris|pris
là_on|là_on
il|il
lasse
et|lasse
et
qui|qui
conquiert|conquiert
et|et
no|no
despant
il|despant
il
est|est
aïz|aïz
de|de
tote|tote
jant
li|jant
li
uns|uns
senz|senz
l’|l’
autre|autre
n’|n’
a|a
mestier
car|mestier
car
li|li
uns|uns
doit|doit
àl’|àl’
autre|autre
aidier
pou|aidier
pou
vaut|vaut
conquere|conquere
senz|senz
doner
et|doner
et
qui|qui
despant|despant
sanz|sanz
conquester
om|conquester
om
l’|l’
a|a
veï|veï
de|de
mante|mante
gent
que|gent
que
d’|d’
auqués|auqués
menent|menent
à|à
neient
bons|neient
bons
princes|princes
doit|doit
toz_jorz|toz_jorz
despandre
et|despandre
et
conquester|conquester
doner|doner
et|et
prandre
car|prandre
car
largece|largece
li|li
est|est
d’|d’
amor
et|amor
et
de|de
proëce|proëce
et|et
d’|d’
onor
ensi|onor
ensi
puet|puet
del|del
siegle|siegle
joir
amor|joir
amor
et|et
onor|onor
mantenir
dont|mantenir
dont
il|il
ert|ert
dou|dou
siegle|siegle
loëz
et|loëz
et
aprés|aprés
sa|sa
mort|mort
remenbrez
de|remenbrez
de
ce|ce
me|me
vueil|vueil
atant|atant
laissier
à|laissier
à
mon|mon
conte|conte
vueil|vueil
repairier
seignor|repairier
seignor
je|je
sai|sai
assez|assez
de|de
si
d’|si
d’
alixandre|alixandre
avez|avez
oï
mes|oï
mes
ne|ne
savez|savez
encore|encore
pas
don|pas
don
fu|fu
sa|sa
mere|mere
olinpias
del|olinpias
del
roi|roi
felipon|felipon
ne|ne
savez
que|savez
que
fu|fu
ses|ses
pere|pere
don|don
fu|fu
nez
je|nez
je
dirai|dirai
qui|qui
l’|l’
ai|ai
en|en
memoire
or|memoire
or
est|est
contez|contez
*|*
mlt|mlt
riche|riche
estoire
des|estoire
des
rois|rois
des|des
princes|princes
qui|qui
i|i
sont
li_plus|sont
li_plus
est|est
del|del
roi|roi
flormont
ce|flormont
ce
dist|dist
aymes|aymes
or|or
escoutez
vos|escoutez
vos
qui|qui
les|les
bons|bons
diz|diz
entendez
car|entendez
car
ci|ci
porront|porront
trover|trover
la|la
flor
des|flor
des
contes|contes
li|li
bon|bon
conteör
d’|conteör
d’
amor|amor
et|et
de|de
chevaleries
d’|chevaleries
d’
aventures|aventures
et|et
de|de
cortoisies|cortoisies
