3ra
cil|3ra
cil
qui|qui
a|a
cuer|cuer
et|et
vasselage
et|vasselage
et
welt|welt
amer|amer
de|de
bon|bon
corage
il|corage
il
doit|doit
oïr|oïr
et|et
escouter
ce|escouter
ce
que|que
aymes|aymes
welt|welt
raconter
assez|raconter
assez
i|i
puet|puet
de|de
bien|bien
aprendre
qui|aprendre
qui
de|de
bon|bon
cuer|cuer
i|i
velt|velt
entendre
or|entendre
or
oiés|oiés
signour|signour
que|que
ge|ge
dis
aymes|dis
aymes
pour|pour
amour|amour
aualis
fist|aualis
fist
le|le
roumans|roumans
si|si
sagement
que|sagement
que
tez|tez
l’|l’
orra|orra
qui|qui
ne|ne
l’|l’
entent
por_quoi|entent
por_quoi
il|il
fu|fu
et|et
fais|fais
et|et
dis
por|dis
por
malina|malina
li|li
dis|dis
fu|fu
dis
tous_jors_mais|dis
tous_jors_mais
en|en
iert|iert
ramenbrance
il|ramenbrance
il
ne|ne
fu|fu
mie|mie
fais|fais
en|en
france
mais|france
mais
en|en
la|la
langue|langue
de|de
francois
le|francois
le
fist|fist
aymes|aymes
en|en
lionnois
aymes|lionnois
aymes
i|i
mist|mist
s’|s’
ententïon
le|ententïon
le
roumans|roumans
fist|fist
à|à
chastillon
de|chastillon
de
phellipon|phellipon
de|de
macedoine
qui|macedoine
qui
fu|fu
norris|norris
em|em
babiloine
et|babiloine
et
dou|dou
fil|fil
le|le
duc|duc
mataquas
qui|mataquas
qui
estoit|estoit
sires|sires
de|de
duras
florimont|duras
florimont
ot|ot
non|non
en|en
francois
et|francois
et
oulineos|oulineos
en|en
grijois
rois|grijois
rois
fu|fu
et|et
si|si
conquist|conquist
assez
dirai|assez
dirai
vous|vous
en|en
se|se
m’|m’
escoutez
de_sor|escoutez
de_sor
saine|saine
à|à
chastillon
estoit|chastillon
estoit
aymes|aymes
une|une
saison
si|saison
si
se|se
porpensa|porpensa
del’|del’
estoire
que|estoire
que
il|il
avoit|avoit
en|en
son|son
mimoire
il|mimoire
il
l’|l’
avoit|avoit
en|en
grece|grece
veüe
mais|veüe
mais
n’|n’
estoit|estoit
pas|pas
partout|partout
seüe|seüe
