3rb
à|3rb
à
phellipople|phellipople
la|la
trouva
à|trouva
à
chastillons|chastillons
l’|l’
en|en
aporta
ensis_comme|aporta
ensis_comme
il|il
l’|l’
avoit|avoit
aprise
l’|aprise
l’
a|a
dou|dou
roumans|roumans
fait|fait
*|*
p|p
devise
aymes|devise
aymes
de|de
varennes|varennes
retrait
des|retrait
des
anciens|anciens
ce|ce
qu’|qu’
il|il
ont|ont
fait
les|fait
les
fais|fais
conte|conte
des|des
anciens
que|anciens
que
tout|tout
cil|cil
qui|qui
ont|ont
les|les
cuers|cuers
lens
aient|lens
aient
de|de
lor|lor
prouese|prouese
envie
pour|envie
pour
amender|amender
lor|lor
fausse|fausse
vie
pour|vie
pour
les|les
anciens|anciens
ramembrer
vous|ramembrer
vous
wel|wel
dire|dire
et|et
riconter
si_comme|riconter
si_comme
en|en
escript|escript
ai|ai
trouvé
d’|trouvé
d’
une|une
estoire|estoire
la|la
verté
de|verté
de
ciaus|ciaus
qui|qui
firent|firent
les|les
bons|bons
fais
de|fais
de
quoi|quoi
cis|cis
roumans|roumans
est|est
ci|ci
fais
devonsme|fais
devonsme
nous|nous
adés|adés
entendre
car|entendre
car
tous_dis|tous_dis
i|i
puet|puet
on|on
aprendre|aprendre
[|[
.|.
.|.
.|.
]|]
maintenoient|maintenoient
hounours|hounours
[|[
.|.
.|.
.|.
]|]
prouesces|prouesces
fois|fois
et|et
amours
à|amours
à
cel|cel
tens|tens
estoit|estoit
amours|amours
vive
qui|vive
qui
or|or
est|est
morte|morte
et|et
chative
de|chative
de
joie|joie
fu|fu
dame|dame
et|et
roïne
et|roïne
et
or|or
est|est
morte|morte
et|et
chaitive
lors|chaitive
lors
estoit|estoit
d’|d’
ounour|ounour
coronnee
or|coronnee
or
est|est
d’|d’
avarice|avarice
tuee
lors|tuee
lors
n’|n’
avoit|avoit
pas|pas
engien|engien
ne|ne
vice
mais|vice
mais
or|or
se|se
muert|muert
par|par
avarice
or|avarice
or
ne|ne
welt|welt
pas|pas
amors|amors
noblesce
mais|noblesce
mais
cellui|cellui
welt|welt
qui|qui
a|a
richesce
ou|richesce
ou
soit|soit
gentis|gentis
ou|ou
soit|soit
vilains
amours|vilains
amours
tent|tent
par|par
tout|tout
luis|luis
ses|ses
mains
s|mains
s
'|'
il|il
ert|ert
cuvers|cuvers
vilains|vilains
provez
mais|provez
mais
que|que
il|il
ait|ait
avoir|avoir
assez
bien|assez
bien
iert|iert
servis|servis
et|et
retenus
mais|retenus
mais
il|il
iert|iert
*|*
mlt|mlt
tos|tos
decheüs
car|decheüs
car
il|il
ne|ne
scet|scet
ne|ne
il|il
ne|ne
voit
comment|voit
comment
li|li
amours|amours
le|le
decoit
quant|decoit
quant
la|la
conquiert|conquiert
sa|sa
joi|joi
plainne
et|plainne
et
quant|quant
la|la
pert|pert
travail|travail
et|et
painne
ne|painne
ne
la|la
puet|puet
garder|garder
longement
que|longement
que
ne|ne
·l|·l
perde|perde
que|que
ne|ne
·l|·l
despent
aveirs|despent
aveirs
se|se
pert|pert
e|e
·mainte|·mainte
part
aveirs|part
aveirs
hon|hon
n’|n’
iert|iert
ja|ja
fors|fors
renart
qui|renart
qui
·l|·l
pert|pert
en|en
terre|terre
il|il
pert|pert
en|en
mer
par|mer
par
robeours|robeours
et|et
par|par
embler
par|embler
par
mal|mal
signour|signour
pert|pert
et|et
par|par
guerre
quant|guerre
quant
muert|muert
l’|l’
avoir|avoir
pert|pert
et|et
la|la
terre|terre
