3rc
lors|3rc
lors
le|le
lait|lait
il|il
tout|tout
et|et
guerpist
teiz|guerpist
teiz
le|le
despent|despent
qui|qui
ne|ne
·l|·l
conquist
ne|conquist
ne
·l|·l
di|di
pas|pas
porce_que|porce_que
dener
ne|dener
ne
puet|puet
on|on
pas|pas
sans|sans
conquester
qui|conquester
qui
*|*
mlt|mlt
despent|despent
et|et
peu|peu
amasse
tost|amasse
tost
pert|pert
son|son
pris|pris
là_où|là_où
il|il
lasse
et|lasse
et
qui|qui
conquiert|conquiert
et|et
ne|ne
despent
il|despent
il
est|est
haïs|haïs
de|de
mainte|mainte
gent
li|gent
li
uns|uns
sans|sans
l’|l’
autre|autre
n’|n’
a|a
mestier
mais|mestier
mais
li|li
uns|uns
doit|doit
àl’|àl’
autre|autre
aidier
pau|aidier
pau
vaut|vaut
despendre|despendre
sans|sans
dener
et|dener
et
qui|qui
despent|despent
sans|sans
conquester
on|conquester
on
l’|l’
a|a
veüt|veüt
de|de
mainte|mainte
gent
que|gent
que
d’|d’
auqués|auqués
viennent|viennent
à|à
neent
bons|neent
bons
princes|princes
doit|doit
assez|assez
despendre
et|despendre
et
conquester|conquester
dener|dener
et|et
prendre
quar|prendre
quar
largece|largece
est|est
dame|dame
d’|d’
ounour
et|ounour
et
de|de
prouesce|prouesce
et|et
de|de
valour
ensis|valour
ensis
puet|puet
dou|dou
siecle|siecle
joïr
amours|joïr
amours
et|et
hounors|hounors
maintenir
dont|maintenir
dont
il|il
iert|iert
dou|dou
siecle|siecle
loëz
et|loëz
et
aprés|aprés
sa|sa
mort|mort
ramembrez
de|ramembrez
de
ce|ce
me|me
wel|wel
atant|atant
laissier
et|laissier
et
à|à
mon|mon
conte|conte
repairier
signor|repairier
signor
je|je
sai|sai
assez|assez
de_fit
que|de_fit
que
d’|d’
alixandre|alixandre
avez|avez
oït
mais|oït
mais
ne|ne
savez|savez
encore|encore
pas
dont|pas
dont
fu|fu
sa|sa
mere|mere
olimpias
dou|olimpias
dou
roi|roi
phellipon|phellipon
ne|ne
savez
qu’|savez
qu’
est|est
ses|ses
peres|peres
ne|ne
dont|dont
fu|fu
nez
ge|nez
ge
·l|·l
dirai|dirai
qui|qui
l’|l’
ai|ai
en|en
mimoire
or|mimoire
or
escoutez|escoutez
*|*
mlt|mlt
riche|riche
estoire
des|estoire
des
rois|rois
des|des
princes|princes
qui|qui
il|il
sont
liplus|sont
liplus
est|est
dou|dou
roi|roi
florimont
ce|florimont
ce
dist|dist
aymes|aymes
or|or
escoutez
vous|escoutez
vous
qui|qui
les|les
bons|bons
dis|dis
entendez
quar|entendez
quar
ci|ci
porront|porront
trover|trover
la|la
flour
deuz|flour
deuz
contes|contes
li|li
bon|bon
conteour
d’|conteour
d’
amours|amours
et|et
de|de
chevallerie
d’|chevallerie
d’
aventure|aventure
et|et
de|de
courtoisie
et|courtoisie
et
de|de
largesce|largesce
et|et
d’|d’
ounour
or|ounour
or
faites|faites
pais|pais
oiés|oiés
signour|signour
