1rb
le|1rb
le
fait|fait
conte|conte
des|des
ancieins
que|ancieins
que
tuit|tuit
cil|cil
qui|qui
ont|ont
les|les
cuers|cuers
vains
aient|vains
aient
de|de
lor|lor
proëce|proëce
envie
por|envie
por
emender|emender
lor|lor
fause|fause
vie
por|vie
por
les|les
ancieins|ancieins
remenbrer
vos|remenbrer
vos
veil|veil
dire|dire
et|et
reconter
si_con|reconter
si_con
j’|j’
ai|ai
en|en
escrit|escrit
trové
d’|trové
d’
une|une
estoire|estoire
la|la
verité
à|verité
à
ceuz|ceuz
qui|qui
firont|firont
les|les
bons|bons
faz
por|faz
por
coi|coi
li|li
conte|conte
sont|sont
retraiz
devomes|retraiz
devomes
nos|nos
toz_jorz|toz_jorz
antandre
quar|antandre
quar
adés|adés
i|i
puet|puet
on|on
aprandre
que|aprandre
que
cil|cil
mantenoient|mantenoient
honor
proëce|honor
proëce
et|et
foi|foi
et|et
amor
à|amor
à
cel|cel
tens|tens
estoit|estoit
amors|amors
vive
qui|vive
qui
or|or
est|est
morte|morte
et|et
chaitive
de|chaitive
de
joie|joie
fu|fu
dame|dame
et|et
roïne
or|roïne
or
est|est
avare|avare
et|et
frarine
non|frarine
non
avoit|avoit
pas|pas
enjan|enjan
ne|ne
vice
mais|vice
mais
or|or
se|se
muert|muert
por|por
avarice
or|avarice
or
ne|ne
veut|veut
pas|pas
amors|amors
noblece
mais|noblece
mais
celui|celui
veut|veut
qui|qui
a|a
richece
ou|richece
ou
soit|soit
gentiuz|gentiuz
ou|ou
soit|soit
vilains
amors|vilains
amors
tent|tent
par|par
toz|toz
leus|leus
se|se
mains
s’|mains
s’
il|il
est|est
vilains|vilains
culverz|culverz
provez
sol_que|provez
sol_que
il|il
ait|ait
d’|d’
avoir|avoir
asez
bien|asez
bien
ert|ert
serviz|serviz
et|et
receüz
mais|receüz
mais
il|il
n’|n’
est|est
mout|mout
de|de
deceüz
quar|deceüz
quar
il|il
ne|ne
set|set
ne|ne
il|il
ne|ne
voit
coment|voit
coment
li|li
avoirs|avoirs
le|le
decoit
quant|decoit
quant
lo|lo
conquiert|conquiert
n’|n’
a|a
joie|joie
vaine
et|vaine
et
quant|quant
lo|lo
pert|pert
dolor|dolor
certaine
ne|certaine
ne
·l|·l
puet|puet
pas|pas
garder|garder
logemant
que|logemant
que
ne|ne
·l|·l
perde|perde
s’|s’
il|il
ne|ne
·l|·l
despant
avoirs|despant
avoirs
est|est
perduz|perduz
maintes|maintes
parz
avairs|parz
avairs
hon|hon
n’|n’
ert|ert
ja|ja
senz|senz
reguart
qui|reguart
qui
·l|·l
pert|pert
en|en
terre|terre
et|et
pert|pert
en|en
mer
por|mer
por
robëors|robëors
et|et
por|por
enbler|enbler
