1va
por|1va
por
mal|mal
segnor|segnor
pert|pert
et|et
por|por
guera
quant|guera
quant
muert|muert
pert|pert
l’|l’
avoir|avoir
et|et
la|la
terra
lors|terra
lors
lait|lait
il|il
treitot|treitot
et|et
grepit
teuz|grepit
teuz
le|le
despent|despent
qui|qui
ne|ne
·l|·l
conquist
ne|conquist
ne
·l|·l
di|di
pas|pas
porce_que|porce_que
doner
ne|doner
ne
puet|puet
on|on
pas|pas
senz|senz
conquester
qui|conquester
qui
mout|mout
despent|despent
et|et
poi|poi
amase
tot|amase
tot
pert|pert
son|son
pris|pris
lai_ont|lai_ont
il|il
laise
et|laise
et
qui|qui
conquiert|conquiert
et|et
no|no
despent
il|despent
il
est|est
aïz|aïz
de|de
mainte|mainte
jant
li|jant
li
uns|uns
senz|senz
l’|l’
autre|autre
n’|n’
a|a
mestier
quar|mestier
quar
li|li
uns|uns
doit|doit
àl’|àl’
autre|autre
aidier
poi|aidier
poi
vaut|vaut
conquere|conquere
senz|senz
doner
et|doner
et
qui|qui
despent|despent
senz|senz
conquester
hon|conquester
hon
l’|l’
a|a
veü|veü
de|de
mainte|mainte
jant
qui|jant
qui
d’|d’
auqués|auqués
vienent|vienent
à|à
noient
bons|noient
bons
princes|princes
doit|doit
toz_jorz|toz_jorz
despandre
et|despandre
et
conquester|conquester
doner|doner
et|et
prandre
quar|prandre
quar
largece|largece
est|est
mere|mere
d’|d’
amor
et|amor
et
de|de
prohece|prohece
et|et
de|de
honor
ainsi|honor
ainsi
puet|puet
del|del
segle|segle
joïr
amor|joïr
amor
et|et
henor|henor
maintenir
dont|maintenir
dont
il|il
ert|ert
del|del
segle|segle
loëz
et|loëz
et
aprés|aprés
sa|sa
mort|mort
remenbrez
de|remenbrez
de
ce|ce
me|me
doi|doi
atant|atant
laisier
à|laisier
à
mon|mon
conte|conte
doi|doi
repairier
segnor|repairier
segnor
je|je
·l|·l
sai|sai
assez|assez
de_fi
que|de_fi
que
d’|d’
alixandre|alixandre
avez|avez
hoï
mais|hoï
mais
ne|ne
savez|savez
encores|encores
pas
dont|pas
dont
fu|fu
sa|sa
mere|mere
olinpias
je|olinpias
je
·l|·l
dirai|dirai
qui|qui
l’|l’
ai|ai
en|en
memoire
or|memoire
or
escustez|escustez
mout|mout
riche|riche
estoire
deuz|estoire
deuz
rois|rois
des|des
princes|princes
qui|qui
i|i
sont
li_pluis|sont
li_pluis
est|est
del|del
roi|roi
floremont
ce|floremont
ce
dist|dist
aymes|aymes
or|or
escoutez
vos|escoutez
vos
qui|qui
les|les
bons|bons
diz|diz
entendez
quar|entendez
quar
ci|ci
poront|poront
trover|trover
la|la
flor
deuz|flor
deuz
contes|contes
li|li
bon|bon
conteör|conteör
