2r
pour|2r
pour
qui|qui
ly|ly
contes|contes
sont|sont
retrait
devons|retrait
devons
nos|nos
tousjours|tousjours
entendre
car|entendre
car
adés|adés
y|y
peult|peult
on|on
apprendre
ceulx|apprendre
ceulx
qui|qui
maintenoient|maintenoient
amour
et|amour
et
foy|foy
et|et
prouesse|prouesse
et|et
honnour
à|honnour
à
cest|cest
temps|temps
estoit|estoit
amour|amour
vive
qui|vive
qui
ore|ore
est|est
morte|morte
et|et
caitive
de|caitive
de
joye|joye
estoit|estoit
dame|dame
et|et
roÿne
ore|roÿne
ore
est|est
aversse|aversse
et|et
c’|c’
est|est
frarine
lors|frarine
lors
estoit|estoit
d’|d’
onneur|onneur
couronnee
par|couronnee
par
convoitise|convoitise
est|est
ore|ore
finee
n’|finee
n’
y|y
avoit|avoit
pas|pas
enging|enging
ne|ne
vice
mais|vice
mais
or|or
ce|ce
meurt|meurt
par|par
avarice
or|avarice
or
ne|ne
quiert|quiert
pas|pas
amor|amor
noblesse
mais|noblesse
mais
cellui|cellui
veult|veult
qui|qui
a|a
richesse
ou|richesse
ou
soit|soit
gentilz|gentilz
ou|ou
soit|soit
villains
amour|villains
amour
tend|tend
mais|mais
par_tout|par_tout
ses|ses
mains
c’|mains
c’
ilz|ilz
est|est
villain|villain
cuvers|cuvers
prouvés
mais_que|prouvés
mais_que
il|il
ait|ait
deniers|deniers
assés
or|assés
or
est|est
servis|servis
et|et
recheüs
car|recheüs
car
il|il
ne|ne
scet|scet
ne|ne
il|il
ne|ne
voit
comment|voit
comment
ly|ly
avoir|avoir
le|le
decoipt
quant|decoipt
quant
le|le
conquiert|conquiert
sa|sa
joye|joye
vaine
et|vaine
et
quant|quant
le|le
pert|pert
doulour|doulour
certaine
ne|certaine
ne
peult|peult
pas|pas
garder|garder
longuement
qu’|longuement
qu’
il|il
ne|ne
le|le
perde|perde
ou|ou
qui|qui
ne|ne
le|le
despend
avoir|despend
avoir
est|est
perdu|perdu
mainte|mainte
part
avers|part
avers
homs|homs
n’|n’
ert|ert
ja|ja
sans|sans
regart
qui|regart
qui
pert|pert
en|en
terre|terre
ou|ou
pert|pert
en|en
mer|mer
